ad_id,region,percentage
392247607072006,Central Bohemian Region,1
2037999629977741,Central Bohemian Region,1
516051841004135,Central Bohemian Region,1
8316444318468748,Central Bohemian Region,1
886688790015834,Central Bohemian Region,1
358917827315053,Central Bohemian Region,1
1642504746294615,Fejér County,4.0E-6
1642504746294615,Ionian Islands (region),4.0E-6
1642504746294615,Niedersachsen,4.0E-6
1642504746294615,Rheinland-Pfalz,4.0E-6
1642504746294615,Islas Canarias,4.0E-6
1642504746294615,Cataluña,4.0E-6
1642504746294615,Burgenland,8.0E-6
1642504746294615,Lower Austria,8.0E-6
1642504746294615,Zagreb,4.0E-6
1642504746294615,Strumica Municipality,4.0E-6
1642504746294615,Yangon,4.0E-6
1642504746294615,Presov,4.0E-6
1642504746294615,Žilina Region,1.3E-5
1642504746294615,Antalya Province,4.0E-6
1642504746294615,Lviv Oblast,8.0E-6
1642504746294615,Odessa Oblast,4.0E-6
1642504746294615,Red Sea Governorate,4.0E-6
1642504746294615,Central Serbia,4.0E-6
1642504746294615,Liberec Region,0.000682
1642504746294615,Ústí nad Labem Region,0.001713
1642504746294615,Central Bohemian Region,0.985996
1642504746294615,Plzeň Region,0.00093
1642504746294615,Pardubice Region,0.001001
1642504746294615,Moravian-Silesian Region,0.002053
1642504746294615,Olomouc Region,0.001052
1642504746294615,Karlovy Vary Region,0.000337
1642504746294615,Giza Governorate,4.0E-6
1642504746294615,Vysočina Region,0.000593
1642504746294615,South Bohemian Region,0.000989
1642504746294615,South Moravian Region,0.002268
1642504746294615,Hradec Králové Region,0.000972
1642504746294615,Stockholm County,4.0E-6
1642504746294615,Balearic Islands,4.0E-6
1642504746294615,Tirana County,4.0E-6
1642504746294615,Southern Aegean,4.0E-6
1642504746294615,Limburg,4.0E-6
1642504746294615,Bourgogne,4.0E-6
1642504746294615,Lower Silesian Voivodeship,4.2E-5
1642504746294615,Calabria,4.0E-6
1642504746294615,Budapest,4.0E-6
1642504746294615,Šibenik-Knin County,4.0E-6
1642504746294615,Dubai,4.0E-6
1642504746294615,Provence-Alpes-Côte d'Azur,8.0E-6
1642504746294615,Thüringen,4.0E-6
1642504746294615,Silesian Voivodeship,8.8E-5
1642504746294615,Mecklenburg-Vorpommern,4.0E-6
1642504746294615,Western Cape,4.0E-6
1642504746294615,Vinnytsia Oblast,4.0E-6
1642504746294615,Rivne Oblast,4.0E-6
1642504746294615,Aydın Province,4.0E-6
1642504746294615,Timiș County,4.0E-6
1642504746294615,Opole Voivodeship,1.3E-5
