Page ID,Page name,Disclaimer,Amount spent (CZK)
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),29042
278117815576023,EU Justice and Consumers,EU Justice and Consumers,28599
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,23319
495496033796328,Stanislav Blaha,Stanislav Blaha,20776
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,18426
487445514669670,Petr Fiala,Občanská demokratická strana,16834
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",13651
101591979523190,Oldřich Hájek,Oldřich Hájek,13320
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,12883
214827221987263,Andrej Babiš,Andrej Babiš,11548
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",11530
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",8300
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,7237
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,6902
157741540937883,CARE Česká republika,CARE Česká republika,6844
116445271562547,Dárek,Nadační fond pro Ukrajinu,6232
295889117124834,Tipsport,Tipsport,5807
134019826669125,Česká divočina,Hnutí DUHA,5752
181682098362773,DICK-TATOR,DICK-TATOR,5479
251656685576,KDU-ČSL,KDU-ČSL,5472
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,4697
424114981002397,Český rozhlas Plus,Český rozhlas,4551
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",4303
122074554119,EU Social,EU Social,4187
192926034666717,Václav Pláteník,Václav Pláteník,4081
183287971525413,Chaos12,These ads ran without a disclaimer,3982
101937231589371,Čestmír Bouda,Čestmír Bouda,3563
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,3516
100843142503124,Podcast Zjisti víc,Zjisti víc,3331
107736952362788,Denik.to,Denik.to,3288
1469427909957890,Reportér magazín,Reportér magazín,3163
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",3154
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,3007
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,3006
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",2869
55408246161,Amnesty International ČR,Amnesty International ČR,2793
2214398435317853,CNN Prima NEWS,FTV Prima,2719
192892890746298,Aerofilms,Aerofilms,2614
413012751897379,Šetři díky dotacím,These ads ran without a disclaimer,2599
693725074166331,Naše zdravotnictví,Naše zdravotnictví,2564
90002267161,TOP 09,TOP 09,2540
353821314687878,Ondřej Benešík,KDU-ČSL,2494
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",2390
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,2328
102778979062932,Digitální Česko,Úřad vlády České republiky,2308
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,2204
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,2189
384187235387895,Alena Schillerová,ANO,2081
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,2052
197010357446014,Ondřej Prokop,Ondrej Prokop,2033
139379141293,Paměť národa,"Post Bellum, z.ú.",2032
108726857444837,České zájmy v EU,DFMG,2006
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",2002
625530284136204,Zlín 21,Zlín 21,1983
392036724286541,Zdravotnický deník,Limegreen s.r.o.,1938
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,1903
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,1894
100258505300069,Za bydlení,Za bydlení,1875
117823623864,Transparency International ČR,Transparency International ČR,1815
711658465662315,XTV,XTV,1803
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",1741
103567498863549,Ecoista,Ecoista,1680
113322746709049,Karel Havlíček,ANO,1669
100201752249169,Spolu21,Občanská demokratická strana,1669
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,1356
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",1309
223117541065037,Karel Janeček,Karel Janeček,1288
204790179389399,RARE Racionální regulace,RARE Racionální regulace,1273
111210916534,Příběhy bezpráví,Příběhy bezpráví,1206
112503423634725,Josef Bazala,Josef Bazala,1193
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková - poslankyně,1188
102763112397884,Jan Hušbauer,Jan Hušbauer,1170
393968607139343,Good Company Circle,Good Company Circle,1163
415472211798220,Prague Pride,Prague Pride z.s.,1158
103059308644099,Replastuj.cz,Replastuj.cz,1157
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,1153
2019114464985347,Chyťte Bureše,Chyťte Bureše,1138
301374529736447,Midea Česko,These ads ran without a disclaimer,1073
1094454530733590,KLDR živě: Za 38. rovnoběžkou,KLDR živě: Za 38. rovnoběžkou,1065
109056560836,iFortuna.cz,iFortuna.cz,1055
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,1049
109323929038,Česká pirátská strana,Česká pirátská strana,1008
609246842426009,Rekonstrukce státu,Rekonstrukce státu,1007
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,1001
421423394666782,Aleš Dufek,Aleš Dufek,1000
105157567569581,Festival svobody ve Zlíně,"Zlínská křižovatka, z. s.",999
1917661888252695,Tomáš Goláň - senátor,"Tomáš Goláň, senátor za obvod č. 78 (Zlínsko)",999
105998488267274,Robert Teleky,Robert Teleky,993
40583438943,NESEHNUTÍ,NESEHNUTÍ,990
315972808450196,ČSOB,ČSOB,933
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,922
382641704925474,Ocelový fénix,AMI Communications,915
105243115766863,Síť k ochraně demokracie,Síť k ochraně demokracie,902
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,899
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",867
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",862
579215965436046,JSNS,JSNS,832
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,826
799083753454179,Voxpot,Voxpot z. ú.,825
102575351265303,Silent Woods,These ads ran without a disclaimer,803
100568506223945,Valdes kouguem,These ads ran without a disclaimer,802
202566776504980,ŽIVOT 90,ŽIVOT 90,800
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,792
93433992603,Hospodářské noviny,Hospodářské noviny,789
731980267233834,AllatRa TV Česko-Slovensko,AllatRa TV Česko-Slovensko,778
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,773
397919187215,Evropská komise v ČR,Evropská komise v ČR,743
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,692
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",668
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,655
165004157332215,EWA: Learn Languages,These ads ran without a disclaimer,652
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,651
1410403182565683,Petr Hladík,KDU-ČSL,634
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,630
119384121259027,Budoucnost Bydlení,These ads ran without a disclaimer,624
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,623
158980731475210,Nina Spitalnikova,Nina Spitalnikova,606
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,595
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,593
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,582
119441777836709,CITYA mobility,CITYA mobility,578
40155481542,ROMEA,"ROMEA, o. p. s.",573
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,564
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",552
