Page ID,Page name,Disclaimer,Amount spent (CZK)
349564778485733,Students for Liberty CZ,Students for Liberty CZ,5556
223117541065037,Karel Janeček,Karel Janeček,5530
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,5492
102763112397884,Jan Hušbauer,Jan Hušbauer,5126
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",5071
128758673882866,Václav Láska - Právo s Láskou,SEN 21,4999
257529307701966,Jiří Pospíšil,TOP 09,4885
252375370791,In IUSTITIA,"In IUSTITIA, o.p.s.",4540
221273594412886,Despre Moldova - Cehia,Despre Moldova - Cehia,4519
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,4378
155406703122,Arnika,Arnika,4367
204790179389399,RARE Racionální regulace,RARE Racionální regulace,4347
315972808450196,ČSOB,ČSOB,4336
211835588951012,"Bohuslav Svoboda, primátor hl. m. Prahy",Občanská demokratická strana,4333
169320288528475,David Kašpar - místostarosta Prahy 10,David Kašpar - místostarosta Prahy 10,4265
102504342524995,Společně pro Prahu 7,Společně pro Prahu 7,4241
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",4216
983533828348884,Jana Komrsková - náměstkyně pro životní prostředí,Česká pirátská strana - Praha,4191
799083753454179,Voxpot,Voxpot z. ú.,4186
245915525601678,Lukáš Wagenknecht,Lukáš Wagenknecht,4117
165004157332215,EWA: Learn Languages,These ads ran without a disclaimer,4111
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,3964
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,3923
392036724286541,Zdravotnický deník,Limegreen s.r.o.,3887
384187235387895,Alena Schillerová,ANO,3878
153968834786942,Fashion Arena Prague Outlet,SurikataPR,3867
112758851612930,Monika Shaw Salajová - místostarostka Prahy 5,Monika Shaw Salajová - místostarostka Prahy 5,3793
183496134175,Radio Prague,Český rozhlas,3776
1962450550674040,TVarchitect.com,Living Media s.r.o.,3679
579215965436046,JSNS,JSNS,3670
353798643589,Nadace OSF,Nadace OSF,3617
179224841945062,BIG LIFE entertainment,These ads ran without a disclaimer,3579
1889377324515249,Praha 1,Úřad městské části Praha 1,3533
56292993421,Jeden svět / One World,Člověk v tísni o.p.s.,3523
397919187215,Evropská komise v ČR,Evropská komise v ČR,3406
321108674718315,Make e Moda,These ads ran without a disclaimer,3336
215661292342258,Praha - město pro život,Praha - město pro život,3272
198923616951918,"Tomáš Slabihoudek, radní z Osmičky",TOP 09,3215
103059308644099,Replastuj.cz,Replastuj.cz,3155
40155481542,ROMEA,"ROMEA, o. p. s.",3134
362665747414675,Kuchařky bez domova,Kuchařky bez domova,3071
104976129105222,"Pavel Šutka, místostarosta Desítky","Pavel Šutka, místostarosta Desítky",3068
511497365600515,Markéta Pekarová Adamová,TOP 09,3041
581395601924343,Jan Čižinský,PRAHA SOBĚ,3000
110126994551913,PRAHA 5 SOBĚ,PRAHA 5 SOBĚ,2999
209788605791373,Heinrich-Böll-Stiftung Prague,"Heinrich-Böll-Stiftung e.V., kancelář v Praze",2996
113322746709049,Karel Havlíček,ANO,2987
119441777836709,CITYA mobility,CITYA mobility,2967
135248715455,Praha 10,Praha 10,2921
107996628144164,PRAHA 6 SOBĚ,PRAHA SOBĚ,2866
123343344354078,"Hitrádio City 93,7 FM","Media Marketing Services, a.s.",2811
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,2783
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,2747
157675528222654,"Martin Valovič, starosta Prahy 10",ODS - Občanská demokratická strana,2716
108726857444837,České zájmy v EU,DFMG,2709
1460486154172874,Avanzza MKT,These ads ran without a disclaimer,2707
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,2636
105243115766863,Síť k ochraně demokracie,Síť k ochraně demokracie,2627
731980267233834,AllatRa TV Česko-Slovensko,AllatRa TV Česko-Slovensko,2507
100558309347647,Muzala Samukonga,These ads ran without a disclaimer,2498
141251795939998,Hřbitovy a pohřební služby hl. m. Prahy,Hřbitovy a pohřební služby hl. m. Prahy,2487
284944781875,EURACTIV.cz,EURACTIV.cz,2478
301374529736447,Midea Česko,These ads ran without a disclaimer,2473
100258505300069,Za bydlení,These ads ran without a disclaimer,2438
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,2411
113234444928293,Milan Vrkoč - radní Prahy 5,Milan Vrkoč - radní Prahy 5,2397
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,2350
523450094407778,Marek Ženíšek,TOP 09,2312
102575351265303,Silent Woods,These ads ran without a disclaimer,2289
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,2273
363018980231394,Nadační fond pro záchranu Vyšehradského železničního mostu,Nadační fond pro záchranu Vyšehradského železničního mostu,2254
2068226376787023,Piráti Praha 12,Česká pirátská strana,2202
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,2162
736108196759255,"Martin Jedlička, zastupitel Prahy 8",TOP 09,2142
1410403182565683,Petr Hladík,KDU-ČSL,2139
273251297864533,"Michal Vronský, starosta Prahy 3","Michal Vronský, starosta Prahy 3",2100
587682004653785,Piráti Praha,Česká pirátská strana - Praha,2099
265210376668615,Petr Beneš,Petr Beneš,2096
100760001626922,Martin Sedeke,Martin Sedeke,2092
249201591615338,kingsbet CZ,kingsbet CZ,2084
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",2052
102844685102730,Olga Richterová - místopředsedkyně Sněmovny,Česká pirátská strana,2051
382641704925474,Ocelový fénix,AMI Communications,2045
315747282263515,"Jakub Stárek, starosta Šestky",Jakub Stárek,2011
137072422819787,Radka Šimková - starostka Prahy 5,PRAHA SOBĚ,1986
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",1967
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1908
155406703122,Arnika,Arnika - Centrum pro podporu občanů,1905
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",1877
132661676810693,Žižkovská noc,Žižkovská noc,1864
100819232400756,Koncert pro budoucnost,Koncert pro budoucnost,1864
687843237907830,Mladé Pirátstvo,Česká pirátská strana,1799
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,1773
166088024273,Nakladatelství Portál,Nakladatelství Portál,1744
462619436938494,International support service,These ads ran without a disclaimer,1729
447844645078491,Ucimolgbt.cz,Prague Pride z. s.,1728
107448651923170,Řepští sousedé,"Řepští sousedé, z.s.",1704
566113207093999,Krásné Kobylisy,"Krásné Kobylisy, z.s.",1693
629195630792582,Sociální bydlení v ČR,Sociální bydlení v ČR,1643
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,1626
467298366652832,Радио Прага,Радио Прага,1509
177139666120181,Vlastimil Válek,TOP 09,1499
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",1474
245915525601678,Lukáš Wagenknecht,Česká pirátská strana,1463
115106741622257,Roman Ďurčo,Roman Ďurčo,1448
863066993754032,LOCIKA - centrum pro děti ohrožené domácím násilím,Centrum LOCIKA,1433
211760652195532,Mladí sociální demokraté,Mladí sociální demokraté,1424
241108842691754,Magnesia,These ads ran without a disclaimer,1412
206630153142726,Marek Výborný,KDU-ČSL,1402
624342207620490,ODS Praha 7,ODS Praha 7,1396
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,1382
103568159436395,Datarun.cz,Datarun.cz,1381
60516116431,Člověk v tísni,These ads ran without a disclaimer,1365
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,1359
204790179389399,RARE Racionální regulace,These ads ran without a disclaimer,1331
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,1307
248141645314682,RUBIKON Centrum,RUBIKON Centrum,1301
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,1284
125830487980906,Solární asociace,Solární asociace,1254
2294380230800406,AJNA dental clinic,AJNA dental clinic,1253
822146574595819,Agrární komora České republiky,Agrární komora České republiky,1217
100136888779860,Tom Philipp,Tom Philipp,1211
133785617564,Česká fotbalová reprezentace,These ads ran without a disclaimer,1178
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,1162
72854632984,Hitrádio ORION,"Media Marketing Services, a.s.",1158
110126994551913,PRAHA 5 SOBĚ,Praha 5 sobě,1156
413781585866108,Zuzana Böhmová - místostarostka Prahy 11,Česká pirátská strana,1140
108254295004217,Jdeme o krok dál,Jdeme o krok dál,1140
107563435940797,Skanska v ČR a SR,Skanska v ČR a SR,1137
966463226699666,Ceny Jana Opletala,"Díky, že můžem z. s.",1122
105928175350796,Mária Ševčíková - 1. místostarostka Prahy 14,Mária Ševčíková - 1. místostarostka Prahy 14,1118
2242877092705890,Adam Zábranský - pražský radní,Česká pirátská strana - Praha,1100
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",1096
232304553456879,Centrum politických studií,Centrum politických studií,1069
225016997351346,Pravda Vítězí,Spolek Odchod,997
113528310021484,Šimon Pánek,"Člověk v tísni, o.p.s.",995
101288484695293,Evropská soda,DFMG,978
123720971086368,Cinema City Česká republika,These ads ran without a disclaimer,968
461340680584235,Mladí lidovci,Mladí lidovci,959
103055665668357,Koridor UA,These ads ran without a disclaimer,958
1701718886552103,Moje Evropa,Moje Evropa,934
311455292595290,Ivan Hýža - místostarosta Kunratic,Ivan Hýža - místostarosta Kunratic,932
102593189144504,Karolína Kubisková,Karolína Kubisková,894
162620837267478,Jan Bartošek,Jan Bartošek,875
109501160564065,Mariana Čapková - místostarostka Prahy 6,PRAHA SOBĚ,858
124872365383,CROSS][CLUB - officiall,CROSS][CLUB - officiall,853
164024787880257,Adapterra,Nadace Partnerství,808
1159209940952925,Tomáš Hřebík - strategický rozvoj Prahy 8,TOP 09,807
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,805
105422232487401,Bold News,Bold News,804
