ad_id,region,percentage
1174314687452148,Central Bohemian Region,0.0868
1174314687452148,Hradec Králové Region,0.053834
1174314687452148,Karlovy Vary Region,0.03324
1174314687452148,Liberec Region,0.040414
1174314687452148,Moravian-Silesian Region,0.195361
1174314687452148,Olomouc Region,0.046695
1174314687452148,Pardubice Region,0.042631
1174314687452148,Plzeň Region,0.055026
1174314687452148,Prague,0.102126
1174314687452148,South Bohemian Region,0.056528
1174314687452148,South Moravian Region,0.092544
1174314687452148,Unknown,0.000358
1174314687452148,Vysočina Region,0.046159
1174314687452148,Zlín Region,0.048256
1174314687452148,Ústí nad Labem Region,0.100029
1132197931632512,Central Bohemian Region,0.081628
1132197931632512,Hradec Králové Region,0.05693
1132197931632512,Karlovy Vary Region,0.035622
1132197931632512,Liberec Region,0.039037
1132197931632512,Moravian-Silesian Region,0.205369
1132197931632512,Olomouc Region,0.047927
1132197931632512,Pardubice Region,0.042189
1132197931632512,Plzeň Region,0.053452
1132197931632512,Prague,0.095678
1132197931632512,South Bohemian Region,0.05708
1132197931632512,South Moravian Region,0.092866
1132197931632512,Unknown,0.000352
1132197931632512,Vysočina Region,0.045253
1132197931632512,Zlín Region,0.045516
1132197931632512,Ústí nad Labem Region,0.101102
610951141280553,Central Bohemian Region,0.079764
610951141280553,Hradec Králové Region,0.055106
610951141280553,Karlovy Vary Region,0.035705
610951141280553,Liberec Region,0.038652
610951141280553,Moravian-Silesian Region,0.208104
610951141280553,Olomouc Region,0.042978
610951141280553,Pardubice Region,0.041345
610951141280553,Plzeň Region,0.052222
610951141280553,Prague,0.111038
610951141280553,South Bohemian Region,0.056229
610951141280553,South Moravian Region,0.093504
610951141280553,Unknown,0.000445
610951141280553,Vysočina Region,0.044313
610951141280553,Zlín Region,0.040603
610951141280553,Ústí nad Labem Region,0.099992
1635722603992722,Central Bohemian Region,0.076733
1635722603992722,Hradec Králové Region,0.055776
1635722603992722,Karlovy Vary Region,0.03533
1635722603992722,Liberec Region,0.036909
1635722603992722,Moravian-Silesian Region,0.217029
1635722603992722,Olomouc Region,0.044496
1635722603992722,Pardubice Region,0.039846
1635722603992722,Plzeň Region,0.052327
1635722603992722,Prague,0.108681
1635722603992722,South Bohemian Region,0.056265
1635722603992722,South Moravian Region,0.094309
1635722603992722,Unknown,0.000445
1635722603992722,Vysočina Region,0.042249
1635722603992722,Zlín Region,0.042805
1635722603992722,Ústí nad Labem Region,0.096801
594399319763152,Central Bohemian Region,0.081527
594399319763152,Hradec Králové Region,0.053349
594399319763152,Karlovy Vary Region,0.038096
594399319763152,Liberec Region,0.03943
594399319763152,Moravian-Silesian Region,0.223265
594399319763152,Olomouc Region,0.043795
594399319763152,Pardubice Region,0.041952
