Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,11321,18
214827221987263,Andrej Babiš,Andrej Babiš,7569,4
356448681873897,Mikuláš Peksa,Mikuláš Peksa,5210,7
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,5161,43
1817941161841179,STRABAG Česko,Strabag Česko,4484,38
223117541065037,Karel Janeček,Karel Janeček,4109,2
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,3570,12
490930117644709,Lubomír Zaorálek,Sociální demokracie,3471,8
56292993421,Jeden svět / One World,Člověk v tísni o.p.s.,3303,4
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,3185,8
2277494545898464,The Eco Experts,These ads ran without a disclaimer,2724,1
40155481542,ROMEA,"ROMEA, o. p. s.",2543,7
1422617594662590,Petr Mach,SPD a Trikolora,2411,24
105002754733933,Matěj Gregor • Svobodní,Odchod z.s.,2228,5
93433992603,Hospodářské noviny,Hospodářské noviny,2047,2
648648261893473,Stačilo,Komunistická strana Čech a Moravy,2003,4
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,1869,3
252723251252904,Pavel Šotola,KDU-ČSL,1854,40
178362315106,European Parliament,European Parliament,1602,6
1626877920864508,Vodafone Foundation,These ads ran without a disclaimer,1532,1
237070732827050,Slavíme 25 let ČR v NATO,"DALEKOHLEĎ,z.ú.",1432,6
157741540937883,CARE Česká republika,CARE Česká republika,1356,7
315972808450196,ČSOB,ČSOB,1340,2
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1275,7
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,1272,3
120461304659141,O2 CZ,O2 Czech republic,1029,1
111041662264882,Sociální demokracie,Sociální demokracie,980,4
107736952362788,Denik.to,Denik.to,965,21
415472211798220,Prague Pride,Prague Pride z.s.,914,21
252673128998993,Daniela Ostrá • Sociální demokracie,Sociální demokracie,913,2
1956144064659620,BlueTV,Aliance pro budoucnost,877,8
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,864,4
169946526003,Nadace Partnerství,Nadace Partnerství,835,3
197010357446014,Ondřej Prokop,Ondrej Prokop,812,5
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,797,2
115106741622257,Roman Ďurčo,Roman Ďurčo,778,1
1220066088147062,Ondřej Krutílek,Občanská demokratická strana,770,3
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,770,5
995938427265360,Marcel Kolaja,Marcel Kolaja,759,2
1706194599657489,TotalEnergies,TotalEnergies Marketing Česká republika s.r.o.,749,1
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,646,7
799083753454179,Voxpot,Voxpot z. ú.,641,11
108798118453748,Berenika Peštová-poslankyně,Berenika Peštová-poslankyně,638,3
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",611,25
173305846086912,Jiří Čunek,KDU-ČSL,588,9
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,581,15
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,560,1
693725074166331,Naše zdravotnictví,Naše zdravotnictví,554,4
251656685576,KDU-ČSL,KDU-ČSL,545,2
280617905401953,Alexandra Udženija,Občanská demokratická strana,522,2
181682098362773,DICK-TATOR,DICK-TATOR,504,1
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",500,2
273367223021327,Veronika Vrecionová,Občanská demokratická strana,493,1
733410133337387,Michaela Šojdrová,Michaela Šojdrová,493,11
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,488,7
356451014434612,Marian Jurečka,KDU-ČSL,458,3
113322746709049,Karel Havlíček,ANO,453,3
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,438,4
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,407,5
397919187215,Evropská komise v ČR,Evropská komise v ČR,402,6
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,370,9
103567498863549,Ecoista,Ecoista,351,3
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,347,3
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",347,8
