Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
1477535869227488,Vít Rakušan,Vít Rakušan,8426,15
1817941161841179,Strabag Česko,Strabag Česko,6035,39
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,3630,13
178362315106,European Parliament,European Parliament,3607,28
214827221987263,Andrej Babiš,Andrej Babiš,3297,4
120461304659141,O2 CZ,O2 Czech republic,2970,1
101591979523190,Oldřich Hájek,Oldřich Hájek,2418,3
197010357446014,Ondřej Prokop,Ondrej Prokop,2204,7
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,2151,12
1956144064659620,BlueTV,Aliance pro budoucnost,2108,8
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,2086,10
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1920,10
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",1900,3
809013272468388,Aliance pro rodinu,Aliance pro rodinu,1763,1
251656685576,KDU-ČSL,KDU-ČSL,1346,24
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1274,9
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,1153,11
109787574497667,Aliance pro budoucnost,Aliance pro budoucnost,1129,1
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",1035,17
110945610569821,Spolek Odchod,Odchod z.s.,1010,14
115106741622257,Roman Ďurčo,Roman Ďurčo,970,4
101246399917496,National Geographic,These ads ran without a disclaimer,912,1
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,906,5
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,823,3
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,709,2
648648261893473,Stačilo,Komunistická strana Čech a Moravy,701,3
995938427265360,Marcel Kolaja,Marcel Kolaja,697,2
116113331737797,EDUin,EDUin,665,2
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,662,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,647,5
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková - poslankyně,628,3
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,614,21
356448681873897,Mikuláš Peksa,Mikuláš Peksa,590,4
822146574595819,Agrární komora České republiky,Agrární komora České republiky,563,1
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",529,4
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,523,4
101409506002741,Digital News,These ads ran without a disclaimer,518,1
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,508,2
107736952362788,Denik.to,Denik.to,507,18
103059308644099,Replastuj.cz,Replastuj.cz,500,5
112300100259995,Global Teacher Prize Czech Republic,Global Teacher Prize Czech Republic,499,2
111041662264882,Sociální demokracie,Sociální demokracie,450,3
280617905401953,Alexandra Udženija,Občanská demokratická strana,420,2
424114981002397,Český rozhlas Plus,Český rozhlas,418,6
103567498863549,Ecoista,Ecoista,411,3
252673128998993,Daniela Ostrá • Sociální demokracie,Sociální demokracie,409,2
345130612167293,Demagog.CZ,Demagog.cz,403,1
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,390,1
461430503957309,TOP 09 - Praha 6,TOP 09,385,1
579215965436046,JSNS,JSNS,383,2
1458139890966328,Rostislav Koštial,Pavel Mikulenka,367,2
1410403182565683,Petr Hladík,KDU-ČSL,363,3
711658465662315,XTV,XTV,359,25
101279652413889,SPOLU pro Prahu,SPOLU Praha,350,1
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,337,1
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,332,11
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",319,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,298,10
125453991470833,SEN 21 - politické hnutí,SEN 21,294,2
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,287,1
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,287,3
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,265,7
495496033796328,Stanislav Blaha,Stanislav Blaha,244,4
107563435940797,Skanska v ČR a SR,Skanska v ČR a SR,235,6
2108659169383946,František Talíř,KDU-ČSL,233,2
145721105297433,Hana Pospíšilíková,Hana Pospíšilíková,232,10
111152388465014,Ivana Solařová - starostka města Znojma,Ivana Solařová - starostka města Znojma,230,2
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,207,1
2355870998014543,Sázíme budoucnost,Nadace Partnerství,205,1
117823623864,Transparency International ČR,Transparency International ČR,199,4
186378717891095,Volnost Rovnost Bratrství,Volnost Rovnost Bratrství,197,1
119624098506,Kateřina Konečná,Kateřina Konečná,196,1
321762510282,Michal Kučera,Michal Kučera,195,4
105002754733933,Matěj Gregor,Odchod z.s.,193,2
378827025796132,Peak.cz,Peak.cz,188,7
206630153142726,Marek Výborný,KDU-ČSL,185,2
284944781875,EURACTIV.cz,EURACTIV.cz,185,8
101937231589371,Čestmír Bouda,Čestmír Bouda,184,5
104976129105222,"Pavel Šutka, místostarosta Desítky","Pavel Šutka, místostarosta Desítky",173,1
152744724577432,Jan Janda - kandidát do senátu 2024,Jan Janda,169,5
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,168,1
312019592244807,Swiss Life Select ČR,These ads ran without a disclaimer,164,2
397919187215,Evropská komise v ČR,Evropská komise v ČR,162,1
109664387308142,Poradna pro obce,Poradna pro obce Svazu měst a obcí České republiky,162,1
578342809023884,Jsme fér,Prague Pride,159,3
162620837267478,Jan Bartošek,Jan Bartošek,158,4
91851852097,TANDEM - Czech-German Youth Exchange Coordination Centre,These ads ran without a disclaimer,151,1
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",151,2
490930117644709,Lubomír Zaorálek,Česká strana sociálně demokratická,150,2
202451429883,Novinky.cz,Borgis a.s.,145,1
356451014434612,Marian Jurečka,KDU-ČSL,144,1
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,143,3
418384058197131,Sokolov,Sokolov,142,1
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",142,2
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,138,5
148545228915507,Mad Duck booking,Mad Duck booking,137,1
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,135,1
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",132,1
176688316811,Vodafone CZ,These ads ran without a disclaimer,131,1
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,130,2
158655234218517,KDU - ČSL Olomoucký kraj,KDU-ČSL,122,1
206284412716963,Plzeňský kraj,Plzeňský kraj,122,1
1780099722095158,Filip Chvátal,Filip Chvátal,122,2
109168265250054,Volvo Trucks Czech Republic,These ads ran without a disclaimer,122,1
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,122,1
1458827397686128,Koalice Vlasta,Koalice Vlasta,120,4
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",116,3
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,113,2
112063437174893,"Ivo Slavotínek, náměstek hejtmana OK","Ivo Slavotínek, náměstek hejtmana OK",110,4
375868542113,Piráti Jihočeský kraj,Česká pirátská strana,109,2
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,109,1
139379141293,Paměť národa,"Post Bellum, z.ú.",107,5
58864692622,Český rozhlas Vltava,Český rozhlas,101,1
112161015475302,Galerie hlavního města Prahy,Galerie hlavního města Prahy,≤100,1
110349724473029,Partnerství pro vzdělávání 2030+,Partnerství pro vzdělávání 2030+,≤100,1
126996454685051,Piráti Praha 8,Česká pirátská strana - Praha,≤100,1
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100,3
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100,1
662196877287140,Tomáš Třetina,PRodukujeme,≤100,1
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",≤100,1
107404618559273,PRO - oficiální,Právo Respekt Odbornost,≤100,1
109071351586518,Jiří Navrátil,Jiří Navrátil,≤100,1
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,≤100,1
124212050978293,Kverulant org,Kverulant org,≤100,3
733410133337387,Michaela Šojdrová,Michaela Šojdrová,≤100,2
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,≤100,1
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková - radní pro životní prostředí a zemědělství,≤100,2
1240809492610426,Jan Jakob,Jan Jakob,≤100,2
153535188480725,Piráti České Budějovice,Česká pirátská strana,≤100,1
1833777390242834,Centrum PANT,Centrum PANT,≤100,1
133030253410089,Jan Šafařík - náměstek hejtmana OK,Jan Šafařík - náměstek hejtmana OK,≤100,1
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,≤100,4
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,≤100,2
102274002445899,Betano Czech Republic,These ads ran without a disclaimer,≤100,1
211760652195532,Mladí sociální demokraté,Mladí sociální demokraté,≤100,3
105274665641835,SPOLU za Vizovice,SPOLU za Vizovice,≤100,1
107701908581977,Radek Scherfer • Sociální demokracie,Radek Scherfer • Sociální demokracie,≤100,1
1900532106849242,Institut H21,Institute H21,≤100,1
1649724681776439,ProMOST,ProMOST,≤100,3
107166057484330,Zelení - Pro KRAJinu,Zelení - Pro KRAJinu,≤100,1
164024787880257,Adapterra,Nadace Partnerství,≤100,1
326507470746765,Martin Půta,Starostové pro Liberecký kraj,≤100,1
110359415174945,Nikol Marhounová - místostarostka Prahy 3,Nikol Marhounová - místostarostka Prahy 3,≤100,1
141366725876424,European Greens,European Greens,≤100,5
232458533991461,Prostějov Na rovinu,Prostějov Na rovinu,≤100,1
253207085584079,Martin Hrubčík,ANO 2011,≤100,1
124872365383,CROSS][CLUB - officiall,CROSS][CLUB - officiall,≤100,1
100957585122900,Adam Valenta - radní Královéhradeckého kraje,Česká pirátská strana,≤100,1
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s.r.o.,≤100,2
