Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
173305846086912,Jiří Čunek,KDU-ČSL,3975,13
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,3511,10
424114981002397,Český rozhlas Plus,Český rozhlas,2933,4
287466674450974,Okáč,Okáč,2880,26
197010357446014,Ondřej Prokop,Ondrej Prokop,2710,9
101591979523190,Oldřich Hájek,Oldřich Hájek,2588,4
1458139890966328,Rostislav Koštial,Pavel Mikulenka,2507,6
114474108677288,Martin Kuba,Martin Kuba,2389,1
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,2298,9
123858471641,iROZHLAS.cz,Český rozhlas,2245,7
280617905401953,Alexandra Udženija,Občanská demokratická strana,2208,4
1382120098684027,Radim F. Holeček,Radim F. Holeček,1912,2
252723251252904,Pavel Šotola,KDU-ČSL,1895,34
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1650,7
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1649,4
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1568,3
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",1555,8
117823623864,Transparency International ČR,Transparency International ČR,1427,7
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1410,3
108973609370,Linka bezpečí,Linka bezpečí,1272,2
162236473648227,DimpleSimple,These ads ran without a disclaimer,1247,1
107736952362788,Denik.to,Denik.to,1214,9
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1197,6
115106741622257,Roman Ďurčo,Roman Ďurčo,1180,3
100723801653101,Radek Kaňa I lídr pro všechny,Spolu MSK,1167,13
711658465662315,XTV,XTV,1163,34
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,1116,16
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1096,27
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1076,16
1469427909957890,Reportér magazín,Reportér magazín,1009,12
258989695009,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,937,13
189453853156222,"Ondřej Dostál - zdraví, právo, spravedlnost","Ondřej Dostál - zdraví, právo, spravedlnost",790,1
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,747,13
112541503899043,Dárkyně-vajíček.cz,Iscare a.s.,709,4
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,670,4
112514130247111,Markéta Monsportová - Zastupitelka Karlovarského kraje,Markéta Monsportová - Zastupitelka Karlovarského kraje,621,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,599,3
101279652413889,SPOLU pro Prahu,SPOLU Praha,591,3
315972808450196,ČSOB,ČSOB,573,1
107166057484330,Zelení pro kraj,Zelení pro kraj,542,8
119441777836709,CITYA mobility,CITYA mobility,527,9
100238859486283,Karin Podivinská - kandidátka do Senátu a náměstkyně primátorky města Brna,Karin Podivinská - kandidátka do Senátu a náměstkyně primátorky města Brna,524,1
162818673583954,Fotovoltaika zdarma,These ads ran without a disclaimer,483,1
181682098362773,DICK-TATOR,DICK-TATOR,479,5
152744724577432,Jan Janda - kandidát do senátu 2024,Jan Janda,467,5
108342850697974,Hejtman Josef Suchánek,Hejtman Josef Suchánek,461,6
100275622515253,Michal Kortyš,Michal Kortyš,461,4
605208513007852,Pavel Sehnal,Aliance pro budoucnost,443,2
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,424,4
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,401,4
101587908186187,Zbyněk Sýkora,Zbyněk Sýkora,397,2
111599660619960,Denik.cz Promo,Denik.cz Promo,377,1
214827221987263,Andrej Babiš,Andrej Babiš,366,1
284944781875,EURACTIV.cz,EURACTIV.cz,342,13
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,341,11
364089260357085,STAN Plzeňský kraj,STAN Plzeňský kraj,334,3
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,333,6
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,327,3
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,326,2
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,325,1
103059308644099,Replastuj.cz,Replastuj.cz,325,1
1956144064659620,BlueTV,Aliance pro budoucnost,323,7
226132580573947,Starostové pro Olomoucký kraj,Starostové pro Olomoucký kraj,323,5
103567498863549,Ecoista,Ecoista,321,4
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",312,3
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,312,1
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",301,4
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,301,1
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,299,3
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,297,1
992961290717515,Pavel Karpíšek,Pavel Karpíšek,293,7
209788605791373,Heinrich-Böll-Stiftung Prague,"Heinrich-Böll-Stiftung e.V., kancelář v Praze",290,3
443133249062600,STAN Jihočeský kraj,STAN Jihočeský kraj,285,2
257529307701966,Jiří Pospíšil,TOP 09,277,4
112063437174893,"Ivo Slavotínek, náměstek hejtmana OK","Ivo Slavotínek, náměstek hejtmana OK",275,8
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,266,1
495496033796328,Stanislav Blaha,Stanislav Blaha,262,4
799083753454179,Voxpot,Voxpot z. ú.,248,3
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,237,3
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,237,2
330082643514337,Robert Baxa,Robert Baxa,231,3
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",223,17
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",222,1
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,216,3
321762510282,Michal Kučera,Michal Kučera,216,2
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,208,2
162501966947995,Minimální důstojná mzda,Minimální důstojná mzda,207,6
206630153142726,Marek Výborný,KDU-ČSL,203,3
40583438943,NESEHNUTÍ,NESEHNUTÍ,194,2
292218360631750,Lubomír Nymburský,Sociální demokracie,186,2
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),184,1
183496134175,Radio Prague,Český rozhlas,178,2
549351855145794,Michael Kohajda,Michael Kohajda,177,2
271054846258904,Praha 3,Městská část Praha 3,175,4
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",172,3
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s.r.o.,167,3
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,166,1
378827025796132,Peak.cz,Peak.cz,161,6
251342108296899,Starostové pro Ústecký kraj,Starostové a nezávislí,154,1
415472211798220,Prague Pride,Prague Pride z.s.,151,7
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,149,1
162620837267478,Jan Bartošek,Jan Bartošek,147,5
1458827397686128,Koalice Vlasta,Koalice Vlasta,142,2
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,138,1
1870450529906750,TERA.cz,TERA Systems s.r.o.,133,1
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",118,1
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",117,4
111041662264882,Sociální demokracie,Sociální demokracie,117,1
116550511463097,Ondřej Mikmek_jaderný venkovan,Ondřej Mikmek_jaderný venkovan,113,4
253130661215661,Dobrá zpráva pro kraj,Sociální demokracie,112,1
712663148755957,Krajská hospodářská komora Karlovarského kraje,Krajská hospodářská komora Karlovarského kraje,108,1
397919187215,Evropská komise v ČR,Evropská komise v ČR,107,1
251245588083351,Marta Peterková,Sociální demokracie,107,1
353349792067181,Institut Paměti národa Brno,Post Bellum,106,4
662196877287140,Tomáš Třetina,PRodukujeme,104,1
38492561701,AutoMat,"AutoMat, z.s.",101,1
1562059410771351,Luboš Zálom • Svobodní,Luboš Zálom • Svobodní,≤100,3
100136888779860,Tom Philipp,Tom Philipp,≤100,2
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",≤100,2
297228640376151,Sociální demokracie • Zlínský kraj,SOCDEM Zlínský kraj,≤100,1
223070300897259,Divokej Západ,ZKTV Production s.r.o.,≤100,1
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,≤100,5
1701718886552103,Moje Evropa,Moje Evropa,≤100,2
157675528222654,"Martin Valovič, starosta Prahy 10",Občanská demokratická strana,≤100,1
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,≤100,2
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100,2
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",≤100,3
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100,1
1060889564019324,Tomáš Prouza,Tomáš Prouza,≤100,1
952005618247538,Martin Červíček,Martin Červíček,≤100,1
215919868555020,Starostové Moravskoslezský kraj,STAROSTOVÉ A NEZÁVISLÍ,≤100,1
145721105297433,Hana Pospíšilíková,Hana Pospíšilíková,≤100,1
145522932180283,Masarykova demokratická akademie,"Masarykova demokratická akademie, z. s.",≤100,3
161396423900274,Piráti Pardubický kraj,Česká pirátská strana,≤100,2
213802435698566,TVbydleni.cz,Living Media s.r.o.,≤100,1
2066000537016513,František Jura,František Jura,≤100,1
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",≤100,2
198431717471046,Společně pro Prahu 8 - TOP 09 a STAN,TOP 09,≤100,1
106504292172552,PRAHA 3 SOBĚ,PRAHA SOBĚ,≤100,1
574403236101561,Ivo Vondrák,hnutí O.k.,≤100,1
191487317696220,Vladimír Barák - novinář,Vladimír Barák - novinář,≤100,1
108798118453748,Berenika Peštová-poslankyně,Berenika Peštová-poslankyně,≤100,1
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,≤100,1
258581527631807,PRO ZNOJMO,PRO ZNOJMO,≤100,1
1674584452793448,"Osmička žije - Město, které žije s vámi.",8žije,≤100,1
2198949580361251,Marek Viskot,Marek Viskot,≤100,1
157741540937883,CARE Česká republika,CARE Česká republika,≤100,2
140958725929135,Pavel Čížek,STAN,≤100,1
109312294926861,2. ekonomická transformace,Digital First Marketing Group s.r.o.,≤100,2
109842328487663,Třeboňáci s podporou starostů,Třeboňáci s podporou starostů,≤100,1
166738586813797,Břetislav Štefan,Břetislav Štefan,≤100,1
1184578558336226,Michaela Opltová,Michaela Opltová,≤100,1
180430115412006,Partners finanční skupina,Partners finanční skupina,≤100,3
629968647053447,Compassion in World Farming Česko,Compassion in World Farming Česko,≤100,1
189097755083174,Miroslav Balatka - senátor,Miroslav Balatka - senátor,≤100,1
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,≤100,1
143251535705710,Autoškola  Baumruk,Autoškola  Baumruk,≤100,1
594426030604429,Martin Procházka,Martin Procházka,≤100,1
139379141293,Paměť národa,"Post Bellum, z.ú.",≤100,4
1240809492610426,Jan Jakob,Jan Jakob,≤100,1
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš - místostarosta Prahy 12,≤100,1
166628854208874,Morava sobě - M3,Morava sobě - M3,≤100,1
133030253410089,Jan Šafařík - Na regionech záleží,Jan Šafařík - Na regionech záleží,≤100,1
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Česká pirátská strana,≤100,1
104094132476278,Dominik Janků,Dominik Janků,≤100,1
110199885033988,SPOLU pro Frýdek-Místek,SPOLU pro Frýdek-Místek,≤100,1
52479821102,Týdeník Respekt,Respekt Media a.s.,≤100,1
163922593467373,Advokátní kancelář LEGISTES,Lucie Slováková (AK Legistes),≤100,1
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,≤100,1
707458719329186,Starostové Praha,Starostové a nezávislí,≤100,1
104087131747633,Zaostřeno,Zaostřeno,≤100,1
316563285803,TOP 09 - Liberecký kraj,TOP 09,≤100,1
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,≤100,1
154933116927,Socialistická Solidarita (SocSol),"Socialistická Solidarita, z.s.",≤100,1
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100,1
579215965436046,JSNS,JSNS,≤100,1
375824363195,jewish-eshop.cz,jewish-eshop.cz,≤100,1
283796335522682,Lepší Beroun,Lepší Beroun,≤100,1
111591087150261,ARENA BRNO,These ads ran without a disclaimer,≤100,1
253691957825753,Kužílková Lucie,Kužílková Lucie,≤100,1
289719914235342,Help Lamar,These ads ran without a disclaimer,≤100,1
271688916342751,"Michael Sinkule, zastupitel MO Plzeň 3","Michael Sinkule, zastupitel MO Plzeň 3",≤100,1
192592977261195,Svoboda a přímá demokracie Liberecký kraj - SPD,Svoboda a přímá demokracie Liberecký kraj - SPD,≤100,1
108305517466837,Tomáš Hradil - starosta města Krnova,"Krnovští patrioti, z.s.",≤100,1
197282550390129,"Matouš Pelikán, politik a advokát","Matouš Pelikán, politik a advokát",≤100,1
1446719542214787,Základní škola Cesta,These ads ran without a disclaimer,≤100,1
109620971947130,"David Cesar, Sociální demokrat","David Cesar, Sociální demokrat",≤100,1
102161328913584,3PK pro prosperující Českou Třebovou,3PK pro prosperující Českou Třebovou,≤100,1
105086432518556,SiiRA World,These ads ran without a disclaimer,≤100,1
109725215092123,RFI Українською,These ads ran without a disclaimer,≤100,1
341225865739082,KdjcsA,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,1
1061420730573798,Sinopec,These ads ran without a disclaimer,≤100,1
