Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
178362315106,European Parliament,European Parliament,7116,16
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,6493,13
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,6284,6
490930117644709,Lubomír Zaorálek,Sociální demokracie,5880,11
101591979523190,Oldřich Hájek,Oldřich Hájek,3589,10
108726857444837,České zájmy v EU,DFMG,3476,6
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,3374,51
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,2744,6
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,2728,6
648648261893473,Stačilo,Komunistická strana Čech a Moravy,2545,5
1422617594662590,Petr Mach,SPD a Trikolora,2425,18
579215965436046,JSNS,JSNS,2238,20
214827221987263,Andrej Babiš,Andrej Babiš,2160,4
252723251252904,Pavel Šotola,KDU-ČSL,2155,32
100201752249169,Spolu21,Občanská demokratická strana,2151,8
1401321553476901,Jan Farský,STAROSTOVÉ A NEZÁVISLÍ,2075,4
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,2049,5
125453991470833,SEN 21 - politické hnutí,SEN 21,1719,2
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1718,12
90002267161,TOP 09,TOP 09,1621,8
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1514,7
108452900574150,Institut pro restorativní justici,"Institut pro restorativní justici, z. s.",1502,2
102845669064210,Danuše Nerudová,STAROSTOVÉ A NEZÁVISLÍ,1457,4
2108659169383946,František Talíř,KDU-ČSL,1450,12
101288484695293,Evropská soda,DFMG,1343,2
43855944703,Svobodní,Svobodní,1310,16
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",1251,2
307333759374560,Česká národní banka,Česká národní banka,1210,2
55408246161,Amnesty International ČR,Amnesty International ČR,1184,1
1469427909957890,Reportér magazín,Reportér magazín,1184,4
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,1157,3
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,1052,1
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",1026,3
384187235387895,Alena Schillerová,ANO,1025,1
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,1019,1
1395881230682843,Luděk Niedermayer,TOP 09,1003,2
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1001,4
102593189144504,Karolína Kubisková,Karolína Kubisková,1000,1
1956144064659620,BlueTV,Aliance pro budoucnost,997,8
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,975,40
356451014434612,Marian Jurečka,KDU-ČSL,974,5
197010357446014,Ondřej Prokop,Ondrej Prokop,968,6
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,963,6
251656685576,KDU-ČSL,KDU-ČSL,922,6
415472211798220,Prague Pride,Prague Pride z.s.,815,15
267751653384029,Pardubický kraj,Pardubický kraj,796,2
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,776,4
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",749,10
105002754733933,Matěj Gregor • Svobodní,Odchod z.s.,721,22
280617905401953,Alexandra Udženija,Občanská demokratická strana,632,2
214647488408004,Filip Benda,Communication Lab,590,4
110554525653740,Karlovarský kraj - oficiální stránka,Karlovarský kraj,576,4
693725074166331,Naše zdravotnictví,Naše zdravotnictví,561,4
40583438943,NESEHNUTÍ,NESEHNUTÍ,561,5
252673128998993,Daniela Ostrá • Sociální demokracie,Sociální demokracie,552,3
884837951550237,"Ondřej Kolář, poslanec z Prahy 6",TOP 09,541,4
224596100731516,Právo Respekt Odbornost - PRO - Zlínský kraj,Právo Respekt Odbornost - PRO - Zlínský kraj,540,1
161588530379314,Právo Respekt Odbornost - PRO - Olomoucký kraj,Právo Respekt Odbornost - PRO - Olomoucký kraj,519,1
247394568446604,Právo Respekt Odbornost - PRO - Jihomoravský kraj,Právo Respekt Odbornost - PRO - Jihomoravský kraj,512,1
181682098362773,DICK-TATOR,DICK-TATOR,510,2
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",506,19
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",499,8
273367223021327,Veronika Vrecionová,Občanská demokratická strana,487,1
317802208282505,Alexandr Vondra,ODS - Občanská demokratická strana,481,1
1220066088147062,Ondřej Krutílek,Občanská demokratická strana,478,1
113322746709049,Karel Havlíček,ANO,474,2
107166057484330,Zelení - Pro KRAJinu,Zelení - Pro KRAJinu,469,3
799083753454179,Voxpot,Voxpot z. ú.,460,28
733410133337387,Michaela Šojdrová,KDU-ČSL,440,16
1410403182565683,Petr Hladík,KDU-ČSL,435,2
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,412,2
206045673805,Deník.cz,VLTAVA LABE MEDIA a.s.,411,1
152744724577432,Jan Janda - kandidát do senátu 2024,Jan Janda,389,7
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,373,5
101230222584230,Pavel Vrbický - náměstek primátorky Hradce Králové,Česká pirátská strana,357,4
284944781875,EURACTIV.cz,EURACTIV.cz,353,13
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,347,4
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,340,9
733410133337387,Michaela Šojdrová,Michaela Šojdrová,338,10
711658465662315,XTV,XTV,321,27
100284089641510,Pavel Buráň,Pavel Buráň,318,1
495496033796328,Stanislav Blaha,Stanislav Blaha,316,3
109323929038,Česká pirátská strana,Česká pirátská strana,310,2
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,298,1
461430503957309,TOP 09 - Praha 6,TOP 09,298,1
206630153142726,Marek Výborný,KDU-ČSL,290,3
