Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
214827221987263,Andrej Babiš,Andrej Babiš,9671,7
137840073155,Asociace pro mezinárodní otázky/Association for International Affairs,Asociace pro mezinárodní otázky/Association for International Affairs,7454,1
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,6777,47
487445514669670,Petr Fiala,Občanská demokratická strana,5406,6
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,4839,47
116445271562547,Dárek,Nadační fond pro Ukrajinu,3961,7
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,3643,18
424114981002397,Český rozhlas Plus,Český rozhlas,3445,40
517584981445585,CistInf,These ads ran without a disclaimer,3423,6
456724527743351,Platforma pro sociální bydlení,Platforma pro sociální bydlení,3087,9
134019826669125,Česká divočina,Hnutí DUHA,3062,5
109323929038,Česká pirátská strana,Česká pirátská strana,2299,17
100201752249169,Spolu21,Občanská demokratická strana,2189,15
1956144064659620,BlueTV,Aliance pro budoucnost,2062,21
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",2056,9
251656685576,KDU-ČSL,KDU-ČSL,1975,2
107736952362788,Denik.to,Denik.to,1647,13
977639539069229,Jana Maláčová,Jana Maláčová,1452,5
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1446,22
186325994736589,Hnutí Pro život ČR,Hnutí Pro život ČR,1407,15
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1240,5
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,1196,5
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,1175,15
206630153142726,Marek Výborný,KDU-ČSL,1063,4
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1029,14
1600005766955141,Svoboda a přímá demokracie Ústecký kraj - SPD,Svoboda a přímá demokracie (SPD),1021,1
132057673531387,Chiclete com Banana,These ads ran without a disclaimer,803,1
354361984407609,Jakub Horak,Jakub Horák,798,3
155406703122,Arnika,Arnika,778,2
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,743,2
490930117644709,Lubomír Zaorálek,Sociální demokracie,722,1
1591945024361681,Štěpán Slovák,Štěpán Slovák,695,6
711658465662315,XTV,XTV,647,33
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,638,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,618,7
113322746709049,Karel Havlíček,ANO,564,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,558,3
100843142503124,Podcast Zjisti víc,Zjisti víc,503,1
280617905401953,Alexandra Udženija,Občanská demokratická strana,495,10
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,494,10
351488672592066,Matěj Ondřej Havel - východočeský poslanec,Matěj Ondřej Havel - východočeský poslanec,490,2
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,472,2
106967874570478,"Giancarlo Lamberti, zastupitel Prahy 1","Giancarlo Lamberti, zastupitel Prahy 1",459,12
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,455,3
389319097602660,Hluboká nad Vltavou - oficiální,Město Hluboká nad Vltavou,454,1
479399375260356,Odkryto.cz,Odkryto.cz,452,6
93433992603,Hospodářské noviny,Hospodářské noviny,444,1
205997892828769,Jeden svět Ostrava,Jeden svět Ostrava,443,13
109247908945072,Nikola Bartůšek,Nikola Bartůšek,427,1
1410403182565683,Petr Hladík,KDU-ČSL,424,5
139379141293,Paměť národa,"Post Bellum, z.ú.",396,9
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,393,4
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",374,1
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,368,3
305841779280815,Standa Balík - senátor z Jeseníků,Standa Balík - senátor z Jeseníků,366,2
257529307701966,Jiří Pospíšil,TOP 09,366,2
553773474671244,Martin Kupka,Občanská demokratická strana,359,2
107744397623418,Pavel Křeček • radní Prahy 3,Pavel Křeček • radní Prahy 3,354,2
191504709024,Museum Kampa,Museum Kampa,353,2
103059308644099,Replastuj.cz,Replastuj.cz,342,4
103567498863549,Ecoista,Ecoista,335,4
202003355940,Ekoškola,Ekoškola,332,1
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,320,4
415472211798220,Prague Pride,Prague Pride z.s.,308,5
307333759374560,Česká národní banka,Česká národní banka,297,1
504553626073637,Odolné Česko,"Lobbio, z. s.",290,4
545801401949968,Jeden svět Šumperk,Jeden svět Šumperk,288,2
192926034666717,Václav Pláteník,Václav Pláteník,283,2
106725941551702,Daniela Kovářová,Daniela Kovářová,276,2
