Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",12724,29
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,8844,35
487445514669670,Petr Fiala,Občanská demokratická strana,8496,8
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,7096,45
181682098362773,DICK-TATOR,DICK-TATOR,4450,7
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,3953,5
187407575190610,Adam Scheinherr,PRAHA SOBĚ,3414,4
214827221987263,Andrej Babiš,Andrej Babiš,2690,5
2214398435317853,CNN Prima NEWS,FTV Prima,2489,2
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,2268,6
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,2257,2
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,2195,6
687843237907830,Mladé Pirátstvo,Česká pirátská strana,1991,1
251656685576,KDU-ČSL,KDU-ČSL,1848,6
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1804,23
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",1767,1
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1726,5
384187235387895,Alena Schillerová,ANO,1704,3
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1458,3
55408246161,Amnesty International ČR,Amnesty International ČR,1442,11
202566776504980,ŽIVOT 90,ŽIVOT 90,1386,14
109323929038,Česká pirátská strana,Česká pirátská strana,1324,1
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,1313,2
1094454530733590,KLDR živě: Za 38. rovnoběžkou,KLDR živě: Za 38. rovnoběžkou,1312,1
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,1298,2
100258505300069,Za bydlení,These ads ran without a disclaimer,1271,2
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1268,21
206630153142726,Marek Výborný,KDU-ČSL,1256,8
157741540937883,CARE Česká republika,CARE Česká republika,1225,14
134019826669125,Česká divočina,Hnutí DUHA,1199,9
424114981002397,Český rozhlas Plus,Český rozhlas,1153,15
1469427909957890,Reportér magazín,Reportér magazín,1112,5
108726857444837,České zájmy v EU,DFMG,1097,3
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),961,1
107736952362788,Denik.to,Denik.to,935,8
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",891,1
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,846,2
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,846,1
280617905401953,Alexandra Udženija,Občanská demokratická strana,827,2
117823623864,Transparency International ČR,Transparency International ČR,775,7
90002267161,TOP 09,TOP 09,757,2
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,718,2
139379141293,Paměť národa,"Post Bellum, z.ú.",715,4
113322746709049,Karel Havlíček,ANO,703,1
101591979523190,Oldřich Hájek,Oldřich Hájek,623,1
693725074166331,Naše zdravotnictví,Naše zdravotnictví,621,3
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,620,7
111107168256877,Karel Dvořák,Karel Dvořák,609,2
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",597,3
158980731475210,Nina Spitalnikova,Nina Spitalnikova,585,1
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,578,3
111210916534,Příběhy bezpráví,Příběhy bezpráví,576,4
1812508368973199,Kamal Farhan,Kamal Farhan,547,1
415472211798220,Prague Pride,Prague Pride z.s.,542,7
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,540,5
40583438943,NESEHNUTÍ,NESEHNUTÍ,535,4
103567498863549,Ecoista,Ecoista,532,4
495496033796328,Stanislav Blaha,Stanislav Blaha,493,8
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,471,16
609246842426009,Rekonstrukce státu,Rekonstrukce státu,470,4
101288484695293,Evropská soda,DFMG,467,3
2019114464985347,Chyťte Bureše,Chyťte Bureše,455,2
711658465662315,XTV,XTV,416,42
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,407,3
103059308644099,Replastuj.cz,Replastuj.cz,393,5
115106741622257,Roman Ďurčo,Roman Ďurčo,390,1
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,386,3
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",373,13
119441777836709,CITYA mobility,CITYA mobility,371,6
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,362,2
799083753454179,Voxpot,Voxpot z. ú.,321,2
100843142503124,Podcast Zjisti víc,Zjisti víc,313,4
38492561701,AutoMat,"AutoMat, z.s.",311,2
102845835976540,Zeleneč - oficiální stránka obce,These ads ran without a disclaimer,310,1
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,290,6
1917661888252695,Tomáš Goláň - senátor,"Tomáš Goláň, senátor za obvod č. 78 (Zlínsko)",289,1
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",285,3
1812098778828241,Ostravak,"Ostravak, politické hnutí",280,2
153535188480725,Piráti České Budějovice,Česká pirátská strana,270,4
312181048799130,Skupina ČEZ,These ads ran without a disclaimer,262,1
271054846258904,Praha 3,Městská část Praha 3,262,4
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,257,4
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,254,1
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,247,2
470573589468438,Duše Nade Vše,sinne,242,1
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",235,1
284944781875,EURACTIV.cz,EURACTIV.cz,233,7
166088024273,Nakladatelství Portál,Nakladatelství Portál,233,1
183496134175,Radio Prague,Český rozhlas,231,1
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",227,1
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,215,1
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,208,3
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",206,4
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",202,1
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,196,3
413781585866108,Zuzana Böhmová - místostarostka Prahy 11,Česká pirátská strana,195,2
1833777390242834,Centrum PANT,Centrum PANT,190,2
362665747414675,Kuchařky bez domova,Kuchařky bez domova,183,2
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,177,2
137072422819787,Radka Šimková - starostka Prahy 5,PRAHA SOBĚ,174,1
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,164,4
573004246504627,Bohéma,Bohéma,162,9
101335358678003,Jiří Horák,Jiří Horák,162,1
119624098506,Kateřina Konečná,Kateřina Konečná,161,1
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",158,4
107744397623418,Pavel Křeček • radní Prahy 3,Pavel Křeček • radní Prahy 3,153,1
528573226994553,Peter Tavel - váš kandidát na rektora,Peter Tavel,152,7
215661292342258,Praha - město pro život,Praha - město pro život,147,1
157675528222654,"Martin Valovič, starosta Prahy 10",ODS - Občanská demokratická strana,145,1
257529307701966,Jiří Pospíšil,TOP 09,140,2
102504342524995,Společně pro Prahu 7,Společně pro Prahu 7,139,1
101134762378681,Michaela Šebelová,STAROSTOVÉ A NEZÁVISLÍ,139,2
393968607139343,Good Company Circle,Good Company Circle,138,1
441371052635518,Peter Harvánek - veřejný profil,Peter Harvánek - veřejný profil,136,1
1962450550674040,TVarchitect.com,Living Media s.r.o.,135,1
100647378751279,Pavla Pivoňka Vaňková STAN,Pavla Pivoňka Vaňková STAN,135,1
134722653342602,DAFilms CZ,DAFilms CZ,132,1
114723720265985,Pavel Staněk - poslanec,Pavel Staněk,132,1
624342207620490,ODS Praha 7,ODS Praha 7,124,1
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",121,3
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,These ads ran without a disclaimer,115,1
169320288528475,David Kašpar - místostarosta Prahy 10,David Kašpar - místostarosta Prahy 10,115,4
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,114,5
162501966947995,Minimální důstojná mzda,Minimální důstojná mzda,104,2
1649724681776439,ProMOST,ProMOST,≤100,2
162620837267478,Jan Bartošek,Jan Bartošek,≤100,3
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,≤100,2
101912608033407,Petra Prokšanová,Petra Prokšanová,≤100,2
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,≤100,1
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,≤100,2
1956144064659620,BlueTV,Aliance pro budoucnost,≤100,5
102763112397884,Jan Hušbauer,Jan Hušbauer,≤100,1
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",≤100,2
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,≤100,1
100970769093658,Jana Berkovcová,Jana Berkovcová,≤100,3
662196877287140,Tomáš Třetina,PRodukujeme,≤100,1
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš - místostarosta Prahy 12,≤100,2
317530692148022,Evropa v datech,DFMG,≤100,1
273251297864533,"Michal Vronský, starosta Prahy 3","Michal Vronský, starosta Prahy 3",≤100,3
113575165174742,Učím o klimatu,Člověk v tísni o.p.s.,≤100,2
208161775704251,Martin Pošta - náměstek primátora,Martin Pošta - náměstek primátora,≤100,2
104083252536484,František Bureš,František Bureš,≤100,1
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,≤100,2
1060889564019324,Tomáš Prouza,Tomáš Prouza,≤100,1
311455292595290,Ivan Hýža - místostarosta Kunratic,Ivan Hýža - místostarosta Kunratic,≤100,1
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,≤100,1
321762510282,Michal Kučera,Michal Kučera,≤100,2
113489557033298,Mourek - politická strana,Libeňský mourek,≤100,1
1701718886552103,Moje Evropa,Moje Evropa,≤100,1
101703942538470,René Černý - 1. náměstek primátorky města Brna,René Černý - 1. náměstek primátorky města Brna,≤100,1
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,ODS,≤100,1
107996628144164,PRAHA 6 SOBĚ,PRAHA SOBĚ,≤100,2
108374187758283,Karel Sládeček - SPD,Karel Sládeček - SPD,≤100,1
332018473557072,ODS Kolín,ODS Kolín,≤100,1
114337041552313,Václav Cinádr - místostarosta Plzeň 2-Slovany,Václav Cinádr - místostarosta Plzeň 2-Slovany,≤100,1
101587908186187,Senátor Zbyněk Sýkora,Zbyněk Sýkora,≤100,1
367656464950,TOP 09 - Praha 10,TOP 09 - Praha 10,≤100,1
163922593467373,Advokátní kancelář LEGISTES,Lucie Slováková (AK Legistes),≤100,1
192892890746298,Aerofilms,Aerofilms,≤100,1
413012751897379,Šetři díky dotacím,These ads ran without a disclaimer,≤100,1
204829789371435,"Pavel Václav Kohout, starosta Opatovic nad Labem",Konektor Digital,≤100,1
205449429328974,Kutná Hora,Kutná Hora,≤100,1
736108196759255,"Martin Jedlička, zastupitel Prahy 8",TOP 09,≤100,1
241669269037364,Tomáš Messing,Spolek Odchod,≤100,3
397919187215,Evropská komise v ČR,Evropská komise v ČR,≤100,1
1240809492610426,Jan Jakob,Jan Jakob,≤100,1
312759208382,TOP 09 - Plzeňský kraj,TOP 09,≤100,1
232304553456879,Centrum politických studií,Centrum politických studií,≤100,1
186378717891095,Volnost Rovnost Bratrství,Volnost Rovnost Bratrství,≤100,1
384481271512,TOP 09 Beroun,TOP 09 Beroun,≤100,1
2198949580361251,Marek Viskot,Marek Viskot,≤100,1
188170248637576,ODS Tichá,ODS Tichá,≤100,1
392036724286541,Zdravotnický deník,Limegreen s.r.o.,≤100,1
176173883021695,Robert Stržínek,Robert Stržínek,≤100,1
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,≤100,1
100760001626922,Martin Sedeke,Martin Sedeke,≤100,1
388199977717789,Martin Horák,These ads ran without a disclaimer,≤100,1
1562059410771351,Luboš Zálom • Svobodní,Luboš Zálom • Svobodní,≤100,1
412701961936068,ZaridimeDotace,These ads ran without a disclaimer,≤100,1
283796335522682,Lepší Beroun,Lepší Beroun,≤100,1
1458827397686128,Koalice Vlasta,Koalice Vlasta,≤100,3
109620971947130,"David Cesar, Sociální demokrat","David Cesar, Sociální demokrat",≤100,1
236488496391722,Forbes Česko,These ads ran without a disclaimer,≤100,1
52479821102,Týdeník Respekt,Respekt Media a.s.,≤100,1
122109597643461,Ecorus International,These ads ran without a disclaimer,≤100,1
189232005248268,CTG,These ads ran without a disclaimer,≤100,1
102056985743398,Encyclopedia MDPI,These ads ran without a disclaimer,≤100,1
107574164472383,CSGI,These ads ran without a disclaimer,≤100,1
133931056460738,Customscool,These ads ran without a disclaimer,≤100,1
160705940653725,Wiener Festwochen,These ads ran without a disclaimer,≤100,1
101148414840079,Debunk.org,These ads ran without a disclaimer,≤100,1
103049114987772,MANN+HUMMEL,These ads ran without a disclaimer,≤100,1
110315937243455,Inotherm,These ads ran without a disclaimer,≤100,1
