Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
102845669064210,Danuše Nerudová,STAROSTOVÉ A NEZÁVISLÍ,44475,22
109323929038,Česká pirátská strana,Česká pirátská strana,33314,65
490930117644709,Lubomír Zaorálek,Sociální demokracie,25621,14
43855944703,Svobodní,Svobodní,24462,64
1401321553476901,Jan Farský,STAROSTOVÉ A NEZÁVISLÍ,19636,20
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",17741,6
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,17733,14
100201752249169,Spolu21,Občanská demokratická strana,16934,9
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,15180,28
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,14843,202
100981095684030,Lenka Helena Koenigsmark,SEN 21,11663,7
107404618559273,PRO - oficiální,Právo Respekt Odbornost,11516,2
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,10959,9
1422617594662590,Petr Mach,SPD a Trikolora,9577,40
141366725876424,European Greens,European Greens,9223,20
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,8452,4
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,8285,79
100793736209591,Česká republika na 1. místě,Česká republika na 1. místě!,6653,1
178362315106,European Parliament,European Parliament,6456,2
90002267161,TOP 09,TOP 09,6310,47
111041662264882,Sociální demokracie,Sociální demokracie,4924,2
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,4670,17
107898832590939,European Commission,European Commission,4540,36
107814901486149,Lucie Potůčková,STAROSTOVÉ A NEZÁVISLÍ,4487,10
189453853156222,"Ondřej Dostál - zdraví, právo, spravedlnost","Ondřej Dostál - zdraví, právo, spravedlnost",4172,8
300226419829971,Zemědělci Jandejsek a Dubravská - Stačilo,Zemědělci Jandejsek a Dubravská - Stačilo,3975,13
2108659169383946,František Talíř,KDU-ČSL,3960,7
884837951550237,"Ondřej Kolář, poslanec z Prahy 6",TOP 09,3909,16
