Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",10219,16
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,5696,37
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,4374,10
487445514669670,Petr Fiala,Občanská demokratická strana,4312,5
251656685576,KDU-ČSL,KDU-ČSL,3563,12
90002267161,TOP 09,TOP 09,3132,4
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,2613,35
1956144064659620,BlueTV,Aliance pro budoucnost,2518,5
2214398435317853,CNN Prima NEWS,FTV Prima,2111,2
181682098362773,DICK-TATOR,DICK-TATOR,2043,14
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1993,20
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1911,9
214827221987263,Andrej Babiš,Andrej Babiš,1793,5
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",1788,1
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1687,8
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,1542,6
101288484695293,Evropská soda,DFMG,1478,3
55408246161,Amnesty International ČR,Amnesty International ČR,1447,11
108726857444837,České zájmy v EU,DFMG,1356,3
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,1353,2
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,1324,2
2019114464985347,Chyťte Bureše,Chyťte Bureše,1299,2
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1213,19
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1044,1
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),1018,1
107736952362788,Denik.to,Denik.to,997,12
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,952,13
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,912,10
1469427909957890,Reportér magazín,Reportér magazín,883,8
115106741622257,Roman Ďurčo,Roman Ďurčo,860,1
822146574595819,Agrární komora České republiky,Agrární komora České republiky,820,2
103568159436395,Datarun.cz,Datarun.cz,785,2
293800277153071,Frontier Feed,These ads ran without a disclaimer,752,1
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,729,2
157741540937883,CARE Česká republika,CARE Česká republika,721,18
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,712,5
424114981002397,Český rozhlas Plus,Český rozhlas,681,11
579215965436046,JSNS,JSNS,638,5
693725074166331,Naše zdravotnictví,Naše zdravotnictví,592,5
462619436938494,International support service,These ads ran without a disclaimer,584,4
111210916534,Příběhy bezpráví,Příběhy bezpráví,580,4
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,536,5
415472211798220,Prague Pride,Prague Pride z.s.,520,9
103567498863549,Ecoista,Ecoista,490,5
139379141293,Paměť národa,"Post Bellum, z.ú.",476,4
148545228915507,Mad Duck booking,Mad Duck booking,453,8
711658465662315,XTV,XTV,434,38
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,420,2
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,415,5
101279652413889,SPOLU pro Prahu,SPOLU pro Prahu,410,2
100843142503124,Podcast Zjisti víc,Zjisti víc,395,7
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,364,1
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",361,9
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,350,4
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,347,7
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",342,2
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",323,1
40583438943,NESEHNUTÍ,NESEHNUTÍ,309,5
197010357446014,Ondřej Prokop,Ondrej Prokop,296,3
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,278,3
312759208382,TOP 09 - Plzeňský kraj,TOP 09,276,7
103059308644099,Replastuj.cz,Replastuj.cz,274,3
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,273,7
108254295004217,Jdeme o krok dál,Jdeme o krok dál,266,1
113322746709049,Karel Havlíček,ANO,261,1
38492561701,AutoMat,"AutoMat, z.s.",257,2
1236911876448545,Investor news1,These ads ran without a disclaimer,251,2
370893616113485,Petr Kowanda,Petr Kowanda,250,3
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,237,1
1833777390242834,Centrum PANT,Centrum PANT,233,3
495496033796328,Stanislav Blaha,Stanislav Blaha,229,5
1458827397686128,Koalice Vlasta,Koalice Vlasta,226,3
284944781875,EURACTIV.cz,EURACTIV.cz,224,8
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Pavel Dobeš • místostarosta Prahy 3,222,1
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,218,2
573004246504627,Bohéma,Bohéma,214,9
166088024273,Nakladatelství Portál,Nakladatelství Portál,212,1
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",212,1
280617905401953,Alexandra Udženija,Občanská demokratická strana,211,1
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,210,3
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,207,3
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,194,3
116445271562547,Zapojme Ukrajinu,Nadační fond pro Ukrajinu,191,3
362665747414675,Kuchařky bez domova,Kuchařky bez domova,186,2
257529307701966,Jiří Pospíšil,TOP 09,182,3
211760652195532,Mladí sociální demokraté,Mladí sociální demokraté,172,2
117823623864,Transparency International ČR,Transparency International ČR,170,6
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,169,1
528573226994553,Peter Tavel - váš kandidát na rektora,Peter Tavel,162,5
1962450550674040,TVarchitect.com,Living Media s.r.o.,161,1
629195630792582,Sociální bydlení v ČR,Sociální bydlení v ČR,152,1
393968607139343,Good Company Circle,Good Company Circle,138,1
157675528222654,"Martin Valovič, starosta Prahy 10",ODS - Občanská demokratická strana,137,1
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",130,2
113234444928293,Milan Vrkoč - radní Prahy 5,Milan Vrkoč - radní Prahy 5,130,1
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš - místostarosta Prahy 12,129,3
