Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,14564,8
122074554119,EU Social,EU Social,14096,8
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,8663,15
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,5835,88
490930117644709,Lubomír Zaorálek,Sociální demokracie,4758,9
214827221987263,Andrej Babiš,Andrej Babiš,4735,6
251656685576,KDU-ČSL,KDU-ČSL,4261,13
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,3671,8
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,3535,45
319595688058519,Petualangan Kreatif,These ads ran without a disclaimer,3009,6
102845669064210,Danuše Nerudová,STAROSTOVÉ A NEZÁVISLÍ,2971,6
648648261893473,Stačilo,Komunistická strana Čech a Moravy,2901,5
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",2833,7
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,2821,6
1422617594662590,Petr Mach,SPD a Trikolora,2674,16
252723251252904,Pavel Šotola,KDU-ČSL,2673,32
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,2548,8
1395881230682843,Luděk Niedermayer,TOP 09,2346,7
223117541065037,Karel Janeček,Karel Janeček,2297,3
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,2024,4
317802208282505,Alexandr Vondra,ODS - Občanská demokratická strana,2010,5
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1964,9
1458139890966328,Rostislav Koštial,Pavel Mikulenka,1940,2
274981549029112,Sports Leaders Summit Ostrava,V4 Communications s.r.o.,1846,11
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",1796,6
2108659169383946,František Talíř,KDU-ČSL,1734,13
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1720,11
