Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
156199040917285,Juraj Skovajsa z Epoch Times,"Epoch Times ČR, z. s.",21259,22
214827221987263,Andrej Babiš,Andrej Babiš,8463,5
1817941161841179,Strabag Česko,Strabag Česko,5446,67
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,4855,4
315972808450196,ČSOB,ČSOB,3137,4
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,2048,7
197010357446014,Ondřej Prokop,Ondrej Prokop,1915,8
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1851,3
1956144064659620,BlueTV,Aliance pro budoucnost,1681,5
137778619615350,Voyo.cz,TV Nova s. r. o.,1657,8
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,1610,2
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1521,9
178362315106,European Parliament,European Parliament,1516,12
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1474,5
251656685576,KDU-ČSL,KDU-ČSL,1225,21
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1066,18
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,1061,7
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1059,1
1385022245089699,Česká justice,Česká Justice,1046,1
102593189144504,Karolína Kubisková,Karolína Kubisková,972,1
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",881,13
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,744,5
100602322206023,Radka Maxová,Radka Maxová,737,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,702,5
107736952362788,Denik.to,Denik.to,678,19
115106741622257,Roman Ďurčo,Roman Ďurčo,627,1
693725074166331,Naše zdravotnictví,Naše zdravotnictví,618,2
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,612,1
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,609,4
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",585,7
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,517,20
113322746709049,Karel Havlíček,ANO,509,2
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,505,4
648648261893473,Stačilo,Komunistická strana Čech a Moravy,499,3
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,487,2
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,474,4
384187235387895,Alena Schillerová,ANO,470,2
579215965436046,JSNS,JSNS,440,7
711658465662315,XTV,XTV,406,25
93790856071,Hnutí Brontosaurus,Hnutí Brontosaurus,387,1
152744724577432,Jan Janda - kandidát do senátu 2024,Jan Janda,367,8
58864692622,Český rozhlas Vltava,Český rozhlas,360,1
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,359,10
1458139890966328,Rostislav Koštial,Pavel Mikulenka,353,2
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,352,5
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",347,2
113743658978459,Meltingpot,Meltingpot,343,6
252673128998993,Daniela Ostrá • Sociální demokracie,Sociální demokracie,338,3
111041662264882,Sociální demokracie,Sociální demokracie,330,2
119624098506,Kateřina Konečná,Kateřina Konečná,328,2
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,306,2
148545228915507,Mad Duck booking,Mad Duck booking,299,3
103567498863549,Ecoista,Ecoista,298,2
1469427909957890,Reportér magazín,Reportér magazín,291,1
1736314393286607,Klára Dostálová,ANO,289,1
106862491619540,Rádio VY,Podcast Media s.r.o.,259,1
120893375974787,Ondřej Kovařík,Ondřej Kovařík,248,3
525606624188429,revue Prostor,revue Prostor,243,1
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",231,9
124872365383,CROSS][CLUB - officiall,CROSS][CLUB - officiall,215,1
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,213,1
257529307701966,Jiří Pospíšil,TOP 09,200,4
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,196,1
284944781875,EURACTIV.cz,EURACTIV.cz,194,8
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",191,3
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,185,5
551976351670874,Zdeněk Hraba • senátor,Zdeněk Hraba - senátor,179,2
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,178,2
495496033796328,Stanislav Blaha,Stanislav Blaha,178,4
397919187215,Evropská komise v ČR,Evropská komise v ČR,174,1
378827025796132,Peak.cz,Peak.cz,174,9
100617488241201,Magazín Proboha,Magazín Proboha,168,4
733410133337387,Michaela Šojdrová,Michaela Šojdrová,159,3
109664387308142,Poradna pro obce,Poradna pro obce Svazu měst a obcí České republiky,156,1
415472211798220,Prague Pride,Prague Pride z.s.,143,1
1701718886552103,Moje Evropa,Moje Evropa,143,2
1571432816412854,Ministerstvo pro místní rozvoj,Ministerstvo pro místní rozvoj ČR,138,2
141251795939998,Hřbitovy a pohřební služby hl. m. Prahy,Hřbitovy a pohřební služby hl. m. Prahy,133,2
139379141293,Paměť národa,"Post Bellum, z.ú.",123,2
884837951550237,"Ondřej Kolář, poslanec z Prahy 6","Ondřej Kolář, poslanec z Prahy 6",120,3
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková - radní pro životní prostředí a zemědělství,115,3
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,112,3
125830487980906,Solární asociace,Solární asociace,111,2
101937231589371,Čestmír Bouda,Čestmír Bouda,110,2
840906766014124,Jana Mračková Vildumetzová,ANO,109,1
159731441359190,hnutí spOLečně,hnutí spOLečně,107,1
101051231364600,Miroslav Zborovský - poslanec za JMK,Žijeme reklamou,107,4
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",106,1
100970769093658,Jana Berkovcová,Jana Berkovcová,106,1
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,106,1
280617905401953,Alexandra Udženija,Občanská demokratická strana,106,1
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,105,1
424114981002397,Český rozhlas Plus,Český rozhlas,103,4
343987063337791,CyberBlog,Cyber Security Solutions s.r.o.,102,1
567229570370422,Eva Decroix,Eva Decroix,101,1
662196877287140,Tomáš Třetina,PRodukujeme,≤100,1
213802435698566,TVbydleni.cz,Living Media s.r.o.,≤100,1
109071351586518,Jiří Navrátil,Jiří Navrátil,≤100,1
1833777390242834,Centrum PANT,Centrum PANT,≤100,1
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,≤100,1
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,≤100,2
112758851612930,Monika Shaw Salajová - místostarostka Prahy 5,Monika Shaw Salajová - místostarostka Prahy 5,≤100,1
590249011043899,Skautský institut,"Junák - český skaut, Skautský institut, z. s.",≤100,5
594426030604429,Martin Procházka,Martin Procházka,≤100,1
144156572103905,Jan Kříž,Jan Kříž,≤100,1
1780099722095158,Filip Chvátal,Filip Chvátal,≤100,1
2242877092705890,Adam Zábranský - pražský radní,Česká pirátská strana - Praha,≤100,1
109426895534368,Lucie Cirkva Chocholová - kandidátka na hejtmanku Středočeského kraje,Česká pirátská strana,≤100,1
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100,1
112174584650686,Pavel Hájek • radní Kraje Vysočina,Starostové a nezávislí,≤100,1
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,≤100,1
112063437174893,"Ivo Slavotínek, náměstek hejtmana OK","Ivo Slavotínek, náměstek hejtmana OK",≤100,1
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s.r.o.,≤100,2
1060889564019324,Tomáš Prouza,Tomáš Prouza,≤100,1
176173883021695,Robert Stržínek,Robert Stržínek,≤100,1
1962450550674040,TVarchitect.com,Living Media s.r.o.,≤100,1
147547541961576,Council of the European Union,Council of the European Union,≤100,3
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,≤100,1
162620837267478,Jan Bartošek,Jan Bartošek,≤100,1
146249038733072,Máme rádi Trutnov,Máme rádi Trutnov,≤100,1
102124972915879,Jan Vocel - zprávy ze sídliště Ďáblice,Jan Vocel - zprávy ze sídliště Ďáblice,≤100,1
115285079911127,"Vítězslav Schrek, hejtman Kraje Vysočina",Vítězslav Schrek,≤100,1
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,≤100,1
220079674674602,BEROUN SOBĚ,Beroun sobě,≤100,1
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,≤100,1
109466642240347,Jakub Rychlý - changemaker,Jakub Rychlý,≤100,1
116550511463097,Ondřej Mikmek_jaderný venkovan,Ondřej Mikmek_jaderný venkovan,≤100,2
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková - poslankyně,≤100,2
151413091397965,Яна Лукянова,These ads ran without a disclaimer,≤100,1
1401994146795511,Svoboda a přímá demokracie Praha - SPD,Svoboda a přímá demokracie - SPD,≤100,2
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,≤100,1
148550412469488,Farní sbor Českobratrské církve evangelické v Děčíně,Farní sbor Českobratrské církve evangelické v Děčíně,≤100,1
952005618247538,Martin Červíček,Martin Červíček,≤100,1
103059308644099,Replastuj.cz,Replastuj.cz,≤100,1
176618874475277,Martina Ochodnická - poslankyně z Vysočiny,TOP 09,≤100,1
100683176313,iDNES.cz,These ads ran without a disclaimer,≤100,1
109620971947130,"David Cesar, Sociální demokrat","David Cesar, Sociální demokrat",≤100,1
100247113133632,blend42vodka,These ads ran without a disclaimer,≤100,1
421861864941135,Liberec otevřený lidem,Liberec otevřený lidem,≤100,1
1365388263565053,MORITZ BAKER,These ads ran without a disclaimer,≤100,1
103970999091857,Broumovská vlna,Broumovská vlna,≤100,1
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,≤100,2
2171341796434035,Zelinářská unie Čech a Moravy,Zelinářská unie Čech a Moravy,≤100,1
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,≤100,1
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,1
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,≤100,1
115057090399425,Jakub Michálek - poslanec,Jakub Michálek - poslanec,≤100,1
274197043102446,PROTO,PROTO,≤100,1
837256169624106,MS ODS Slaný,Ondřej Hradecký,≤100,1
316563285803,TOP 09 - Liberecký kraj,TOP 09,≤100,1
104208542332869,"Fridays for cars, energy and freedom - CZ",Fridays For Cars CZ,≤100,1
191487317696220,Vladimír Barák - novinář,Vladimír Barák - novinář,≤100,1
124212050978293,Kverulant org,Kverulant org,≤100,1
609246842426009,Rekonstrukce státu,Rekonstrukce státu,≤100,1
730141167045202,Brumlovka,These ads ran without a disclaimer,≤100,1
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,2
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,1
1777952132237071,Slované v obrazech a poezii / Slavs in pictures and poetry,Slované v obrazech a poezii / Slavs in pictures and poetry,≤100,1
1451909405021929,Applifting,Applifting s.r.o.,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,6
102274002445899,Betano Czech Republic,These ads ran without a disclaimer,≤100,1
215904544933019,otazky_maturitni,These ads ran without a disclaimer,≤100,1
465292817192373,Forum Media ČR,These ads ran without a disclaimer,≤100,1
109534057952598,CK Hamidi,These ads ran without a disclaimer,≤100,1
121414737897090,"LEXUM - oční kliniky, ambulance, optiky",These ads ran without a disclaimer,≤100,1
112107928867115,Вясна. Правы чалавека ў Беларусі / Viasna. Human rights in Belarus,These ads ran without a disclaimer,≤100,1
1020908334608746,Mlčení bolí,These ads ran without a disclaimer,≤100,2
108607545562034,HyperApp,These ads ran without a disclaimer,≤100,1
105832662055587,Lepší Život,These ads ran without a disclaimer,≤100,1
412829425434480,Гаряча Лінія Кадровика,These ads ran without a disclaimer,≤100,1
295446797213542,China.org.cn,These ads ran without a disclaimer,≤100,1
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,2
111497595022809,Júlia Perez,These ads ran without a disclaimer,≤100,1
114865591203616,leoavet,These ads ran without a disclaimer,≤100,1
149672868418032,Harvard Radcliffe Institute,These ads ran without a disclaimer,≤100,1
353349792067181,Institut Paměti národa Brno,Post Bellum,≤100,1
143392612339204,pro investory,These ads ran without a disclaimer,≤100,1
108057732086318,Coliving Semkovo,These ads ran without a disclaimer,≤100,1
108834405359108,Language Learning and Speaking,These ads ran without a disclaimer,≤100,1
108945222180670,Медыязона. Беларусь,These ads ran without a disclaimer,≤100,1
1626877920864508,Vodafone Foundation,These ads ran without a disclaimer,≤100,2
114319561948157,PCRF - Palestine Children's Relief Fund,These ads ran without a disclaimer,≤100,1
100404712995410,Expectationy1,These ads ran without a disclaimer,≤100,1
109533817308782,Going Green Media,These ads ran without a disclaimer,≤100,1
