Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
223117541065037,Karel Janeček,Karel Janeček,6942,6
251656685576,KDU-ČSL,KDU-ČSL,5849,34
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,3254,19
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,2986,28
1139375816088491,Junjou romantica y sekachii hatsukio,These ads ran without a disclaimer,2400,7
55408246161,Amnesty International ČR,Amnesty International ČR,2215,3
214827221987263,Andrej Babiš,Andrej Babiš,2205,5
116445271562547,Zapojme Ukrajinu,Nadační fond pro Ukrajinu,2106,7
164062240456361,Svatopluk Němeček,Magico Marketing s.r.o.,2090,1
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,1966,2
251342108296899,Starostové pro Ústecký kraj,Starostové a nezávislí,1625,8
235273013506719,Medi care,These ads ran without a disclaimer,1527,2
101591979523190,Oldřich Hájek,Oldřich Hájek,1447,3
315972808450196,ČSOB,ČSOB,1282,1
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,1243,3
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1241,1
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1227,6
100723801653101,Radek Kaňa I lídr pro všechny,Spolu MSK,1171,15
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1168,9
287081384496142,HLAS samospráv Královéhradeckého kraje,HLAS samospráv Královéhradeckého kraje,1160,5
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1105,2
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,1083,1
93433992603,Hospodářské noviny,Hospodářské noviny,1023,4
287075587832255,David Rumpík,David Rumpík,990,4
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,961,10
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",954,14
2110017375753306,"MUDr. Raduan Nwelati, senátor","MUDr. Raduan Nwelati, senátor",940,7
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,909,25
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",893,8
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,834,5
1469427909957890,Reportér magazín,Reportér magazín,834,19
115106741622257,Roman Ďurčo,Roman Ďurčo,821,1
197010357446014,Ondřej Prokop,Ondrej Prokop,809,8
112541503899043,Dárkyně-vajíček.cz,Iscare a.s.,781,4
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,702,5
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",686,3
284944781875,EURACTIV.cz,EURACTIV.cz,651,15
108342850697974,Hejtman Josef Suchánek,Hejtman Josef Suchánek,644,10
119441777836709,CITYA mobility,CITYA mobility,629,9
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,608,5
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,605,11
161396423900274,Piráti Pardubický kraj,Česká pirátská strana,586,5
693725074166331,Naše zdravotnictví,Naše zdravotnictví,569,4
711658465662315,XTV,XTV,564,29
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",562,3
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",556,7
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),502,1
253130661215661,Dobrá zpráva pro kraj,Sociální demokracie,496,4
280018635193998,České zpravodajství,These ads ran without a disclaimer,481,2
341109722420138,Vysočina v dobrých rukou,"Frey Consulting, s.r.o.",478,3
226132580573947,Starostové pro Olomoucký kraj,Starostové pro Olomoucký kraj,476,11
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,474,1
100353728746701,NewsCentr,These ads ran without a disclaimer,473,1
605208513007852,Pavel Sehnal,Aliance pro budoucnost,463,8
280617905401953,Alexandra Udženija,Občanská demokratická strana,444,5
1962450550674040,TVarchitect.com,Living Media s.r.o.,427,4
292218360631750,Lubomír Nymburský,Sociální demokracie,410,3
122348331158908,Piráti Olomoucký kraj,Česká pirátská strana,408,4
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,405,3
281732115013900,Hlas pro náš kraj,SOCDEM,391,4
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,390,11
992961290717515,Pavel Karpíšek,Pavel Karpíšek,384,9
103567498863549,Ecoista,Ecoista,373,3
1956144064659620,BlueTV,Aliance pro budoucnost,372,7
1458139890966328,Rostislav Koštial,Pavel Mikulenka,366,3
809013272468388,Aliance pro rodinu,Aliance pro rodinu,339,2
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,327,3
