Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",50937,36
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,11148,45
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,8197,4
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,6005,17
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",5374,24
1469427909957890,Reportér magazín,Reportér magazín,5239,9
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,3954,1
137778619615350,Voyo.cz,TV Nova s. r. o.,3670,9
251656685576,KDU-ČSL,KDU-ČSL,3181,26
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,2907,29
223117541065037,Karel Janeček,Karel Janeček,2798,6
157741540937883,CARE Česká republika,CARE Česká republika,2712,7
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,2622,10
156199040917285,Juraj Skovajsa z Epoch Times,"Epoch Times ČR, z. s.",2619,17
117823623864,Transparency International ČR,Transparency International ČR,2554,12
278117815576023,EU Justice and Consumers,EU Justice and Consumers,2132,2
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",1869,3
178362315106,European Parliament,European Parliament,1826,6
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,1604,9
460558621177512,Zálohujme.cz,Zálohujme,1603,2
110126994551913,PRAHA 5 SOBĚ,Praha 5 sobě,1591,2
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1470,3
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,1418,3
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,1351,3
312308516339470,Parádní kraj,"IMAGE CZ, a.s.",1225,2
315972808450196,ČSOB,ČSOB,1145,1
55408246161,Amnesty International ČR,Amnesty International ČR,1034,15
214827221987263,Andrej Babiš,Andrej Babiš,995,3
1817941161841179,Strabag Česko,Strabag Česko,960,51
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,949,8
113322746709049,Karel Havlíček,ANO,938,3
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",886,7
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,880,9
532219183564760,Stanislav Polčák,Stanislav Polčák,809,3
111041662264882,Sociální demokracie,Sociální demokracie,738,2
711658465662315,XTV,XTV,728,22
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,726,4
206284412716963,Plzeňský kraj,Plzeňský kraj,714,2
107736952362788,Denik.to,Denik.to,699,21
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,691,2
1477535869227488,Vít Rakušan,Vít Rakušan,686,2
