Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
1691199151153995,Pavel Klíma,TOP 09,19945,6
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),16789,46
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,13575,6
163179013855806,Sociální demokracie Jihomoravský kraj,Sociální demokracie Jihomoravský kraj,13443,4
282765711734893,Piráti Moravskoslezský kraj,Piráti Moravskoslezský kraj,12576,25
253130661215661,Dobrá zpráva pro kraj,Sociální demokracie,11049,30
281661881695459,Jan Skalický - politik,Jan Skalický - politik,10479,15
106767797724979,LEPŠÍ SEVER,Lepší Sever,8863,30
100505211433010,Hejtmanka Petra Pecková,STAROSTOVÉ A NEZÁVISLÍ,8641,33
1681478228766601,Jan Grolich I Hejtman JMK,KDU-ČSL,8053,24
1934837773438430,Pavel Fischer,Pavel Fischer,6822,12
462447430809625,Jiří Drahoš,STAROSTOVÉ A NEZÁVISLÍ,6581,60
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,6535,5
336346979568723,Eva Zažímalová,Občanská demokratická strana,6488,7
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,5955,20
218764824871418,Silní lídři pro kraj,Koalice pro Královehradecký kraj,5298,25
221449021053250,Hlas pro Zlínský kraj,Hlas pro Zlínský kraj,5231,9
605208513007852,Pavel Sehnal,Aliance pro budoucnost,4871,31
322507680956575,NÁŠ KRAJ NÁŠ KRAJ,NÁŠ KRAJ NÁŠ KRAJ - SOCDEM,4838,16
163186777045684,Piráti Královéhradecký kraj,Česká pirátská strana,4662,71
105692521913578,David Šimek,David Šimek,4490,77
114474108677288,Martin Kuba,Martin Kuba,4227,3
241270839070177,Juraj Thoma do Senátu,STAROSTOVÉ A NEZÁVISLÍ,4065,17
648648261893473,Stačilo,Komunistická strana Čech a Moravy,3943,3
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,3936,11
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,3892,164
102092151751379,David Pražák - poslanec ze Semil,David Pražák - poslanec ze Semil,3782,20
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,3736,25
122348331158908,Piráti Olomoucký kraj,Česká pirátská strana,3631,29
574403236101561,Ivo Vondrák,hnutí O.k.,3621,4
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,3590,6
371102969577848,Spojenci24 s vámi,Spojenci24 s vámi,3561,10
305848590036657,Milan Kroupa - kandidát na senátora pro Jablonecko a Semilsko,Milan Kroupa - kandidát na senátora pro Jablonecko a Semilsko,3386,19
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,3309,7
