Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),21756,50
1681478228766601,Jan Grolich I Hejtman JMK,KDU-ČSL,16321,27
106767797724979,LEPŠÍ SEVER,LEPŠÍ SEVER,10437,20
287075587832255,David Rumpík,David Rumpík,10156,11
1934837773438430,Pavel Fischer,Pavel Fischer,8678,16
100505211433010,Hejtmanka Petra Pecková,STAROSTOVÉ A NEZÁVISLÍ,8070,27
462447430809625,Jiří Drahoš,STAROSTOVÉ A NEZÁVISLÍ,7588,64
253130661215661,Dobrá zpráva pro kraj,Sociální demokracie,7476,22
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,6789,18
164062240456361,Svatopluk Němeček,Magico Marketing s.r.o.,6293,3
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,6142,184
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,5686,25
221449021053250,Hlas pro Zlínský kraj,Hlas pro Zlínský kraj,5603,7
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,5196,12
218764824871418,Silní lídři pro kraj,Koalice pro Královehradecký kraj,5018,22
106767797724979,LEPŠÍ SEVER,Lepší Sever,4945,28
952005618247538,Martin Červíček,Martin Červíček,4866,5
305848590036657,Milan Kroupa - kandidát na senátora pro Jablonecko a Semilsko,Milan Kroupa - kandidát na senátora pro Jablonecko a Semilsko,4845,9
111599660619960,Denik.cz Promo,Denik.cz Promo,4750,11
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,4686,22
648648261893473,Stačilo,Komunistická strana Čech a Moravy,4627,3
102092151751379,David Pražák - poslanec ze Semil,David Pražák - poslanec ze Semil,4568,11
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,4111,7
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,4078,7
122348331158908,Piráti Olomoucký kraj,Česká pirátská strana,4017,18
605208513007852,Pavel Sehnal,Aliance pro budoucnost,3996,25
100873939504989,PRO NÁŠ KRAJ,PRO PLZEŇ,3881,72
281661881695459,Jan Skalický - politik,Jan Skalický - politik,3878,7
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,3685,13
238356139361058,Michael Rataj - Politik,Michael Rataj - Politik,3633,12
163186777045684,Piráti Královéhradecký kraj,Česká pirátská strana,3567,62
114474108677288,Martin Kuba,Martin Kuba,3565,2
251342108296899,Starostové pro Ústecký kraj,Starostové a nezávislí,3280,13
443133249062600,STAN Jihočeský kraj,STAN Jihočeský kraj,3246,35
574403236101561,Ivo Vondrák,hnutí O.k.,3243,5
371102969577848,Spojenci24 s vámi,Spojenci24 s vámi,3240,9
287081384496142,HLAS samospráv Královéhradeckého kraje,HLAS samospráv Královéhradeckého kraje,3151,4
1555826341333158,Ekonomický deník,Ekonomický deník,3127,2
278781882181636,Jihočeši 2012,Jihočeši 2012,3071,11
100674998195047,Hlas Moravy,Zelení - Jihomoravský kraj,3026,9
111041662264882,Sociální demokracie,Sociální demokracie,2998,4
488342087894398,STAN Karlovarský kraj,Starostové a nezávislí,2975,9
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,2974,10
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,2890,22
330082643514337,Robert Baxa,Robert Baxa,2861,11
241270839070177,Juraj Thoma do Senátu,STAROSTOVÉ A NEZÁVISLÍ,2837,6
307710452690539,Starostové pro jižní Moravu,Starostové a nezávislí,2681,36
364089260357085,STAN Plzeňský kraj,STAN Plzeňský kraj,2676,24
107166057484330,Zelení pro kraj,Zelení pro kraj,2665,21
341109722420138,Vysočina v dobrých rukou,"Frey Consulting, s.r.o.",2653,9
258989695009,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,2579,22
142955265738884,Stačilo v Ústeckém kraji,Komunistická strana Čech a Moravy,2578,3
214827221987263,Andrej Babiš,Andrej Babiš,2435,4
353890264472512,Břeťa Rychlík do Senátu,TOP 09,2352,12
1469427909957890,Reportér magazín,Reportér magazín,2254,5
107701908581977,Radek Scherfer,Radek Scherfer,2233,4
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",2194,10
105934741139043,František LUKL - Hlas starostů,STAROSTOVÉ A NEZÁVISLÍ,2194,1
108342850697974,Hejtman Josef Suchánek,Hejtman Josef Suchánek,2162,17
101591979523190,Oldřich Hájek,Oldřich Hájek,2144,4
322507680956575,NÁŠ KRAJ NÁŠ KRAJ,NÁŠ KRAJ NÁŠ KRAJ - SOCDEM,2143,12
336346979568723,Eva Zažímalová,Občanská demokratická strana,2140,4
490930117644709,Lubomír Zaorálek,Sociální demokracie,2123,1
251656685576,KDU-ČSL,KDU-ČSL,2115,17
