Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",73187,11
360947680436739,SPOLU pro Středočeský kraj,SPOLU pro Středočeský kraj,60047,35
251342108296899,Starostové pro Ústecký kraj,Starostové a nezávislí,57987,36
1681478228766601,Jan Grolich I Hejtman JMK,KDU-ČSL,54658,19
163179013855806,Sociální demokracie Jihomoravský kraj,Sociální demokracie Jihomoravský kraj,43285,25
100505211433010,Hejtmanka Petra Pecková,STAROSTOVÉ A NEZÁVISLÍ,38151,47
282765711734893,Piráti Moravskoslezský kraj,Piráti Moravskoslezský kraj,34352,14
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),32903,13
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,32104,44
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,28046,34
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,27972,23
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,27329,21
163186777045684,Piráti Královéhradecký kraj,Česká pirátská strana,27187,69
648648261893473,Stačilo,Komunistická strana Čech a Moravy,25835,2
90002267161,TOP 09,TOP 09,25781,33
336346979568723,Eva Zažímalová,Občanská demokratická strana,25306,13
109323929038,Česká pirátská strana,Česká pirátská strana,25293,74
101429731974678,Piráti Jihomoravský kraj,DRUŽINA s.r.o.,24512,21
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,23784,3
164062240456361,Svatopluk Němeček,Magico Marketing s.r.o.,22660,19
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,22406,24
462447430809625,Jiří Drahoš,STAROSTOVÉ A NEZÁVISLÍ,22055,52
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,ODS,21632,39
100674998195047,Hlas Moravy,Zelení - Jihomoravský kraj,21487,9
136729466436390,Svobodní Liberecký kraj,Svobodní,20147,18
253130661215661,Dobrá zpráva pro kraj,Sociální demokracie,19283,69
307710452690539,Starostové pro jižní Moravu,Starostové a nezávislí,19073,66
290464181002849,Koalice pro Pardubický kraj,Koalice pro Pardubický kraj,18868,197
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,18465,65
488342087894398,STAN Karlovarský kraj,Starostové a nezávislí,18232,18
115802229102602,Magdalena Davis - kandidátka na hejtmanku Středočeského kraje,Zelení - Strana zelených,17703,80
281732115013900,Hlas pro náš kraj,SOCDEM,16947,28
105044345372292,Tomáš Helebrant,Tomáš Helebrant,16219,6
105692521913578,David Šimek,David Šimek,15546,52
218764824871418,Silní lídři pro kraj,Koalice pro Královehradecký kraj,15492,26
1455431764712359,Petr Vokřál,Petr Vokřál,15084,2
287075587832255,David Rumpík,David Rumpík,14934,5
259737510550867,Adam Joura • správnej hejtman pro Vysočinu,Starostové pro Vysočinu,14659,61
109426895534368,Lucie Cirkva Chocholová - kandidátka na hejtmanku Středočeského kraje,Česká pirátská strana,13666,22
100156851562751,Lena Mlejnková,Starostové pro Liberecký kraj,13384,32
318669934660466,Jan Korda,TOP 09,12701,7
952005618247538,Martin Červíček,Martin Červíček,12591,17
111152388465014,"Ivana Solařová - kandidátka na hejtmanku za hnutí ANO, zastupitelka Znojma",ANO 2011,12396,5
258989695009,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,12346,52
287081384496142,HLAS samospráv Královéhradeckého kraje,HLAS samospráv Královéhradeckého kraje,12089,35
281612878360690,MUDr. Miroslav Jiránek,Česká pirátská strana,11833,9
125379027130,"Pro krajinu – ⁠⁠⁠⁠⁠⁠Zelení, Změna pro Hradec, Sen21 a nezávislí",Strana zelených,11701,17
1934837773438430,Pavel Fischer,Pavel Fischer,11654,15
414337315095753,Miroslav Burget - kandidát do senátu Prostějovsko,Mgr. Miroslav Burget,11260,28
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,10792,16
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,10744,6
1844481785793711,Jan Tecl,Jan Tecl,10663,12
105934741139043,František LUKL - Hlas starostů,STAROSTOVÉ A NEZÁVISLÍ,10577,6
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",10561,32
221449021053250,Hlas pro Zlínský kraj,Hlas pro Zlínský kraj,10515,12
574403236101561,Ivo Vondrák,hnutí O.k.,10334,12
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,10285,12
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),9738,3
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,9697,6
105236994759359,Hana Hajnová náměstkyně hejtmana Kraje Vysočina,Hana Hajnová náměstkyně hejtmana Kraje Vysočina,9619,45
1771562699724929,Ondřej Lochman,Ondřej Lochman,9484,14
226132580573947,Starostové pro Olomoucký kraj,Starostové pro Olomoucký kraj,9340,40
490930117644709,Lubomír Zaorálek,Sociální demokracie,9338,2
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,9321,155
245915525601678,Lukáš Wagenknecht - váš senátor,Česká pirátská strana,9290,23
100275622515253,Michal Kortyš,Michal Kortyš,9264,7
851847531608949,"ANO, tohle je Ústecký kraj","ANO, tohle je Ústecký kraj",9259,15
122348331158908,Piráti Olomoucký kraj,Česká pirátská strana,9221,17
103812268872300,Tomáš Rada - starosta Rokycan - kandidát do Senátu 2024,PRO Plzeň,8876,26
283891178151818,Petr Koleta,Petr Koleta,8702,12
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,8577,16
101134762378681,Michaela Šebelová,STAROSTOVÉ A NEZÁVISLÍ,8497,21
280411075659709,Marek Hilšer,Marek Hilšer do Senátu,8482,6
351682148030970,Dominik Hašek - kandidát do Senátu,TOP 09,8477,25
284247164921991,Piráti Kraj Vysočina,Piráti Kraj Vysočina,8365,21
288627030991926,Jiří Řehák,SEN 21,8246,2
297228640376151,Sociální demokracie • Zlínský kraj,SOCDEM Zlínský kraj,8046,12
364089260357085,STAN Plzeňský kraj,STAN Plzeňský kraj,8022,51
106563654565729,Právo Respekt Odbornost - PRO - Karlovarský kraj,Právo Respekt Odbornost - PRO - Karlovarský kraj,8020,21
474594005906021,Olga Sehnalová,Sociální demokracie,7979,4
