Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
214827221987263,Andrej Babiš,Andrej Babiš,12928,8
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",11467,11
487445514669670,Petr Fiala,Občanská demokratická strana,8250,8
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,5659,20
181682098362773,DICK-TATOR,DICK-TATOR,4856,6
251656685576,KDU-ČSL,KDU-ČSL,3317,4
134019826669125,Česká divočina,Hnutí DUHA,3150,6
354361984407609,Jakub Horak,Jakub Horák,3117,8
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,2568,57
424114981002397,Český rozhlas Plus,Český rozhlas,2396,41
1956144064659620,BlueTV,Aliance pro budoucnost,2029,31
480108935189934,GEN 2025,GEN 2025,1846,3
197010357446014,Ondřej Prokop,Ondrej Prokop,1557,6
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1367,19
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,1224,1
203251603022520,Českomoravská konfederace odborových svazů (ČMKOS),Českomoravská konfederace odborových svazů (ČMKOS),1171,3
107736952362788,Denik.to,Denik.to,1166,12
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1151,12
206630153142726,Marek Výborný,KDU-ČSL,1121,4
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1014,4
101288484695293,Evropská soda,DFMG,952,2
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,945,6
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",872,6
1555826341333158,Ekonomický deník,Ekonomický deník,858,1
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",821,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,748,16
106967874570478,"Giancarlo Lamberti, zastupitel Prahy 1","Giancarlo Lamberti, zastupitel Prahy 1",735,9
108726857444837,České zájmy v EU,DFMG,676,2
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,645,5
349564778485733,Students for Liberty CZ,Students for Liberty CZ,612,3
711658465662315,XTV,XTV,611,26
315972808450196,ČSOB,ČSOB,597,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,582,4
503783049485741,Mise Drak,TRL Space Systems,579,1
344542362982337,Heroine.cz,Heroine.cz,562,12
100843142503124,Podcast Zjisti víc,Zjisti víc,561,2
595001820359269,Zprávy CZ,These ads ran without a disclaimer,521,1
693725074166331,Naše zdravotnictví,Naše zdravotnictví,503,4
103567498863549,Ecoista,Ecoista,492,6
177139666120181,Vlastimil Válek,TOP 09,461,4
977639539069229,Jana Maláčová,Jana Maláčová,454,1
108254295004217,Jdeme o krok dál,Jdeme o krok dál,422,1
1711196282467418,David Štolpa - váš poslanec za Znojemsko,David Štolpa,389,3
186325994736589,Hnutí Pro život ČR,Hnutí Pro život ČR,381,13
415472211798220,Prague Pride,Prague Pride z.s.,374,7
162177293829972,Rádio Blaník,"Media Marketing Services, a.s.",374,1
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",365,11
504553626073637,Odolné Česko,"Lobbio, z. s.",354,2
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,318,1
123343344354078,"Hitrádio City 93,7 FM","Media Marketing Services, a.s.",316,1
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,310,2
223117541065037,Karel Janeček,Karel Janeček,299,4
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,293,4
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,292,2
166088024273,Nakladatelství Portál,Nakladatelství Portál,292,1
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,291,6
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,288,2
495496033796328,Stanislav Blaha,Stanislav Blaha,269,5
648648261893473,Stačilo,Komunistická strana Čech a Moravy,260,1
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,234,5
353798643589,Nadace OSF,Nadace OSF,227,3
321762510282,Michal Kučera,Michal Kučera,212,3
1167350476752262,Michal Zuna,Michal Zuna,209,2
117823623864,Transparency International ČR,Transparency International ČR,209,3
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",208,1
139379141293,Paměť národa,"Post Bellum, z.ú.",205,3
280617905401953,Alexandra Udženija,Občanská demokratická strana,202,6
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,200,5
72854632984,Hitrádio ORION,"Media Marketing Services, a.s.",190,1
1410403182565683,Petr Hladík,KDU-ČSL,190,5
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,187,1
629195630792582,Sociální bydlení v ČR,Sociální bydlení v ČR,187,1
47401251440,Pavel Bosák - 1. náměstek primátora,Pavel Bosák - 1. náměstek primátora,187,1
479399375260356,Odkryto.cz,Odkryto.cz,172,1
426667000534079,"Kamila Bláhová, starostka a poslankyně","Kamila Bláhová, starostka a poslankyně",171,3
312759208382,TOP 09 - Plzeňský kraj,TOP 09,169,5
104338139641787,Jeden svět Plzeň,These ads ran without a disclaimer,157,3
162620837267478,Jan Bartošek,Jan Bartošek,156,3
211835588951012,"Bohuslav Svoboda, primátor hl. m. Prahy",Občanská demokratická strana,150,2
592994073893475,Liberty Team,These ads ran without a disclaimer,149,1
206284412716963,Plzeňský kraj,Plzeňský kraj,149,2
