Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,7341,27
90002267161,TOP 09,TOP 09,6267,7
487445514669670,Petr Fiala,Občanská demokratická strana,6030,4
116445271562547,Zapojme Ukrajinu,Nadační fond pro Ukrajinu,5585,4
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",4648,11
214827221987263,Andrej Babiš,Andrej Babiš,3447,6
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,3331,35
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",2277,6
181682098362773,DICK-TATOR,DICK-TATOR,1977,14
251656685576,KDU-ČSL,KDU-ČSL,1827,13
797495933631139,Roman Roun,Komunistická strana Čech a Moravy,1824,3
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1709,33
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",1648,1
55408246161,Amnesty International ČR,Amnesty International ČR,1568,13
2214398435317853,CNN Prima NEWS,FTV Prima,1551,2
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1496,20
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1496,24
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",1476,3
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1344,5
113322746709049,Karel Havlíček,ANO,1281,2
101591979523190,Oldřich Hájek,Oldřich Hájek,1172,3
103568159436395,Datarun.cz,Datarun.cz,1137,6
495496033796328,Stanislav Blaha,Stanislav Blaha,1090,20
109056560836,iFortuna.cz,iFortuna.cz,1063,1
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1056,6
1469427909957890,Reportér magazín,Reportér magazín,1046,12
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,1028,1
107736952362788,Denik.to,Denik.to,961,10
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,959,12
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),959,1
100843142503124,ZjistiVíc.cz,Zjisti víc,936,6
157741540937883,CARE Česká republika,CARE Česká republika,903,17
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",900,3
511497365600515,Markéta Pekarová Adamová,TOP 09,875,1
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,862,10
2019114464985347,Chyťte Bureše,Chyťte Bureše,857,2
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,790,2
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",723,17
579215965436046,JSNS,JSNS,678,5
40155481542,ROMEA,"ROMEA, o. p. s.",651,5
424114981002397,Český rozhlas Plus,Český rozhlas,648,16
384187235387895,Alena Schillerová,ANO,633,2
111210916534,Příběhy bezpráví,Příběhy bezpráví,582,2
693725074166331,Naše zdravotnictví,Naše zdravotnictví,575,5
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,566,5
40583438943,NESEHNUTÍ,NESEHNUTÍ,561,9
280617905401953,Alexandra Udženija,Občanská demokratická strana,557,2
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Pavel Dobeš • místostarosta Prahy 3,554,2
103567498863549,Ecoista,Ecoista,550,6
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,528,4
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,511,2
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,508,6
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,502,3
72854632984,Hitrádio ORION,"Media Marketing Services, a.s.",480,1
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,468,3
711658465662315,XTV,XTV,461,32
822146574595819,Agrární komora České republiky,Agrární komora České republiky,454,1
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,449,6
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,434,2
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,434,2
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,433,4
461430503957309,TOP 09 - Praha 6,TOP 09,412,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,411,3
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,410,3
102763112397884,Jan Hušbauer,Jan Hušbauer,397,1
125830487980906,Solární asociace,Solární asociace,383,2
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",364,5
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,348,6
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,340,4
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,295,4
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",294,1
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,288,1
101279652413889,SPOLU pro Prahu,SPOLU pro Prahu,273,2
394770857736840,Telegraph,These ads ran without a disclaimer,263,1
