Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
214827221987263,Andrej Babiš,Andrej Babiš,14193,12
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",9131,10
181682098362773,DICK-TATOR,DICK-TATOR,4601,6
251656685576,KDU-ČSL,KDU-ČSL,3926,4
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,3799,24
1956144064659620,BlueTV,Aliance pro budoucnost,3035,20
134019826669125,Česká divočina,Hnutí DUHA,2994,6
354361984407609,Jakub Horak,Jakub Horák,2991,8
487445514669670,Petr Fiala,Občanská demokratická strana,2721,5
424114981002397,Český rozhlas Plus,Český rozhlas,2503,37
197010357446014,Ondřej Prokop,Ondrej Prokop,1509,5
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1449,46
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1295,19
107736952362788,Denik.to,Denik.to,1235,12
137840073155,Asociace pro mezinárodní otázky/Association for International Affairs,Asociace pro mezinárodní otázky/Association for International Affairs,1210,1
203251603022520,Českomoravská konfederace odborových svazů (ČMKOS),Českomoravská konfederace odborových svazů (ČMKOS),1178,3
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1165,9
206630153142726,Marek Výborný,KDU-ČSL,1123,4
592994073893475,Liberty Team,These ads ran without a disclaimer,975,1
223117541065037,Karel Janeček,Karel Janeček,918,6
977639539069229,Jana Maláčová,Jana Maláčová,885,2
101288484695293,Evropská soda,DFMG,865,2
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",860,6
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",847,2
206273352289,ADRA CZ,"ADRA, o.p.s.",827,8
480108935189934,GEN 2025,GEN 2025,826,2
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",795,3
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,774,1
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,724,12
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,636,5
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,629,5
711658465662315,XTV,XTV,592,26
315972808450196,ČSOB,ČSOB,572,1
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,568,4
106967874570478,"Giancarlo Lamberti, zastupitel Prahy 1","Giancarlo Lamberti, zastupitel Prahy 1",505,7
693725074166331,Naše zdravotnictví,Naše zdravotnictví,504,5
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,503,5
1555826341333158,Ekonomický deník,Ekonomický deník,491,1
504553626073637,Odolné Česko,"Lobbio, z. s.",488,2
100843142503124,Podcast Zjisti víc,Zjisti víc,477,2
103567498863549,Ecoista,Ecoista,465,6
349564778485733,Students for Liberty CZ,Students for Liberty CZ,461,3
108254295004217,Jdeme o krok dál,Jdeme o krok dál,416,1
177139666120181,Vlastimil Válek,TOP 09,407,3
344542362982337,Heroine.cz,Heroine.cz,395,4
503783049485741,Mise Drak,TRL Space Systems,372,1
162177293829972,Rádio Blaník,"Media Marketing Services, a.s.",367,1
415472211798220,Prague Pride,Prague Pride z.s.,364,6
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",360,9
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,350,8
186325994736589,Hnutí Pro život ČR,Hnutí Pro život ČR,349,13
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,330,1
1410403182565683,Petr Hladík,KDU-ČSL,305,5
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,304,1
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,289,4
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,284,6
166088024273,Nakladatelství Portál,Nakladatelství Portál,277,1
353798643589,Nadace OSF,Nadace OSF,276,3
553478647848736,Milan Kubek - prezident ČLK,Česká lékařská komora,270,4
123343344354078,"Hitrádio City 93,7 FM","Media Marketing Services, a.s.",267,1
1711196282467418,David Štolpa - váš poslanec za Znojemsko,David Štolpa,261,3
426667000534079,"Kamila Bláhová, starostka a poslankyně","Kamila Bláhová, starostka a poslankyně",242,3
100625058724688,Newsgate.cz,Newsgate.cz,239,3
629195630792582,Sociální bydlení v ČR,Sociální bydlení v ČR,239,1
648648261893473,Stačilo,Komunistická strana Čech a Moravy,230,1
103610538500982,Jiří Slavík - poslanec,Jiří Slavík - poslanec,224,2
312759208382,TOP 09 - Plzeňský kraj,TOP 09,211,5
100347228813654,Martin Hájek,Martin Hájek,200,1
1167350476752262,Michal Zuna,Michal Zuna,198,2
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,197,5
139379141293,Paměť národa,"Post Bellum, z.ú.",196,2
280617905401953,Alexandra Udženija,Občanská demokratická strana,194,4
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",188,6
100760001626922,Martin Sedeke,Martin Sedeke,184,2
479399375260356,Odkryto.cz,Odkryto.cz,177,1
72854632984,Hitrádio ORION,"Media Marketing Services, a.s.",170,1
309310985605737,"Ondřej Počarovský, Radní Prahy 10","Ondřej Počarovský, Radní Prahy 10",163,5
109424685781318,Nezávislí Berouňáci,These ads ran without a disclaimer,161,1
162620837267478,Jan Bartošek,Jan Bartošek,157,4
211835588951012,"Bohuslav Svoboda, primátor hl. m. Prahy",Občanská demokratická strana,150,2
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,150,1
101279652413889,SPOLU pro Prahu,SPOLU pro Prahu,147,1
1533965953549869,Jaroslav Demčák,Jaroslav Demčák,145,1
114216794363739,Žijeme Pardubice,ProPce21,136,1
100393009795206,Jan Papajanovský,Jan Papajanovský,134,1
129542719848,Nakladatelství P3K,Nakladatelství P3K s.r.o.,132,2
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",131,2
103059308644099,Replastuj.cz,Replastuj.cz,128,4
126618627368438,Vojtěch Munzar,Vojtěch Munzar,128,3
1833777390242834,Centrum PANT,Centrum PANT,118,1
389319097602660,Hluboká nad Vltavou - oficiální,Město Hluboká nad Vltavou,112,1
205997892828769,Jeden svět Ostrava,Jeden svět Ostrava,111,2
104452639037483,Starostové a nezávislí Unhošť,Starostové a nezávislí Unhošť,110,1
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,107,2
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,107,1
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Pavel Dobeš • místostarosta Prahy 3,106,1
102500511866371,Karel Smetana,Karel Smetana,105,2
284944781875,EURACTIV.cz,EURACTIV.cz,105,5
631911050212445,Roklen,Roklen,105,11
275521339648633,Jan Wolf - primátor města Karviné,OP ČSSD Karviná,105,1
1401994146795511,Svoboda a přímá demokracie Praha - SPD,Svoboda a přímá demokracie - SPD,104,1
573004246504627,Bohéma,Bohéma,103,4
104359141915669,Mladí Espéďáci,"Institut svobody a přímé demokracie, z.ú.",102,1
434518980326815,Šumperáci,Šumperáci,≤100,2
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,≤100,3
101587908186187,Senátor Zbyněk Sýkora,Zbyněk Sýkora,≤100,2
206284412716963,Plzeňský kraj,Plzeňský kraj,≤100,1
102763112397884,Jan Hušbauer,Jan Hušbauer,≤100,1
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",≤100,1
965539580259604,Infinite MedStyle,These ads ran without a disclaimer,≤100,1
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,≤100,1
