Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",59919,37
137778619615350,Voyo.cz,TV Nova s. r. o.,10555,9
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,9408,35
210778132327279,Prima,Prima,5976,6
117823623864,Transparency International ČR,Transparency International ČR,4792,20
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,4775,5
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,3607,8
157741540937883,CARE Česká republika,CARE Česká republika,3243,7
251656685576,KDU-ČSL,KDU-ČSL,2792,28
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,2678,3
156199040917285,Juraj Skovajsa z Epoch Times,"Epoch Times ČR, z. s.",2440,9
278117815576023,EU Justice and Consumers,EU Justice and Consumers,2384,2
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",2310,34
178362315106,European Parliament,European Parliament,2118,7
1469427909957890,Reportér magazín,Reportér magazín,2066,6
55408246161,Amnesty International ČR,Amnesty International ČR,1612,16
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,1554,3
1458139890966328,Rostislav Koštial,Pavel Mikulenka,1465,3
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",1416,3
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1382,4
370302013674124,Tvořivá společnost • Tvorivá spoločnosť,Tvořivá společnost • Tvorivá spoločnosť,1366,3
111041662264882,Sociální demokracie,Sociální demokracie,1314,4
252375370791,In IUSTITIA,"In IUSTITIA, o.p.s.",1299,40
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,1154,4
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1151,11
397919187215,Evropská komise v ČR,Evropská komise v ČR,1074,3
