Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
214827221987263,Andrej Babiš,Andrej Babiš,14169,12
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,12934,74
251656685576,KDU-ČSL,KDU-ČSL,6709,14
487445514669670,Petr Fiala,Občanská demokratická strana,4976,5
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,4621,17
137840073155,Asociace pro mezinárodní otázky/Association for International Affairs,Asociace pro mezinárodní otázky/Association for International Affairs,4478,1
116445271562547,Dárek,Nadační fond pro Ukrajinu,4120,7
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",3797,6
424114981002397,Český rozhlas Plus,Český rozhlas,3486,44
134019826669125,Česká divočina,Hnutí DUHA,3098,6
109323929038,Česká pirátská strana,Česká pirátská strana,2595,19
1956144064659620,BlueTV,Aliance pro budoucnost,2210,19
480108935189934,GEN 2025,GEN 2025,2022,2
206273352289,ADRA CZ,"ADRA, o.p.s.",1925,8
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,1738,4
107776678913414,Michal Slavík,Michal Slavík,1725,5
977639539069229,Jana Maláčová,Jana Maláčová,1575,3
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1401,18
111108757492137,Libor Vondráček,Libor Vondráček,1287,2
197010357446014,Ondřej Prokop,Ondrej Prokop,1215,4
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,1176,16
169946526003,Nadace Partnerství,Nadace Partnerství,1131,2
206630153142726,Marek Výborný,KDU-ČSL,1113,4
1382120098684027,Radim F. Holeček,Radim F. Holeček,999,1
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,954,6
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",953,3
109247908945072,Nikola Bartůšek,Nikola Bartůšek,953,2
43855944703,Svobodní,Svobodní,917,1
1600005766955141,Svoboda a přímá demokracie Ústecký kraj - SPD,Svoboda a přímá demokracie (SPD),880,1
102468989808589,CEVRO Univerzita,These ads ran without a disclaimer,853,1
107736952362788,Denik.to,Denik.to,831,7
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,813,1
354361984407609,Jakub Horak,Jakub Horák,811,3
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,789,7
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",747,5
592994073893475,Liberty Team,These ads ran without a disclaimer,718,1
711658465662315,XTV,XTV,716,24
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),648,1
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,633,1
415472211798220,Prague Pride,Prague Pride z.s.,630,10
108798118453748,Berenika Peštová-poslankyně,Berenika Peštová-poslankyně,601,1
177139666120181,Vlastimil Válek,TOP 09,547,4
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,537,4
157741540937883,CARE Česká republika,CARE Česká republika,536,3
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",521,1
103567498863549,Ecoista,Ecoista,520,6
106967874570478,"Giancarlo Lamberti, zastupitel Prahy 1","Giancarlo Lamberti, zastupitel Prahy 1",517,13
693725074166331,Naše zdravotnictví,Naše zdravotnictví,511,4
479399375260356,Odkryto.cz,Odkryto.cz,488,4
100843142503124,Podcast Zjisti víc,Zjisti víc,479,1
503783049485741,Mise Drak,TRL Space Systems,472,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,459,8
214870798627736,"ANO, tohle je Jihomoravský kraj","ANO, tohle je Jihomoravský kraj",452,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,451,3
1410403182565683,Petr Hladík,KDU-ČSL,436,7
105998488267274,Robert Teleky,Robert Teleky,423,10
186325994736589,Hnutí Pro život ČR,Hnutí Pro život ČR,417,12
599440176577991,Robert Plaga,ANO 2011,412,2
573004246504627,Bohéma,Bohéma,398,10
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,381,2
162177293829972,Rádio Blaník,"Media Marketing Services, a.s.",378,3
1558635217538331,Standa z Jablonce,Standa z Jablonce,341,2
146713862010620,Martin Baxa,Martin Baxa,340,5
189589554241,Filip Nekola,ODS - Občanská demokratická strana,335,2
101134762378681,Michaela Šebelová,STAROSTOVÉ A NEZÁVISLÍ,307,2
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",304,9
280617905401953,Alexandra Udženija,Občanská demokratická strana,297,4
106691471931611,PRAHA 2 SOBĚ,Praha 2 Sobě,293,1
154821444373429,Radovan Vích - SPD,Radovan Vích - SPD,278,1
166088024273,Nakladatelství Portál,Nakladatelství Portál,270,1
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,261,2
145123515498876,Jan Macháček,Jan Macháček,250,1
139379141293,Paměť národa,"Post Bellum, z.ú.",249,8
553478647848736,Milan Kubek - prezident ČLK,Česká lékařská komora,247,4
103059308644099,Replastuj.cz,Replastuj.cz,241,4
344542362982337,Heroine.cz,Heroine.cz,237,3
249201591615338,kingsbet CZ,These ads ran without a disclaimer,235,1
1711196282467418,David Štolpa - váš poslanec za Znojemsko,David Štolpa,229,2
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",227,4
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,221,1
203428836185898,Okraj.cz,"JKS Média, z.s.",219,4
215661292342258,Praha - město pro život,Praha - město pro život,219,1
126618627368438,Vojtěch Munzar,Vojtěch Munzar,210,5
205997892828769,Jeden svět Ostrava,Jeden svět Ostrava,208,5
105470865029558,KVIFF TV,KVIFF TV,201,2
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,200,5
309310985605737,"Ondřej Počarovský, Radní Prahy 10","Ondřej Počarovský, Radní Prahy 10",199,4
100625058724688,Newsgate.cz,Newsgate.cz,199,1
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,199,2
353798643589,Nadace OSF,Nadace OSF,199,2
181769605016021,Ostravská Drbna,These ads ran without a disclaimer,198,1
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",181,5
495496033796328,Stanislav Blaha,Stanislav Blaha,175,6
100851405979231,AI Community,These ads ran without a disclaimer,169,2
