Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,9105,6
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,7476,44
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,6709,8
56292993421,Jeden svět / One World,Člověk v tísni o.p.s.,5662,9
178362315106,European Parliament,European Parliament,5314,11
101591979523190,Oldřich Hájek,Oldřich Hájek,4918,13
1817941161841179,STRABAG Česko,Strabag Česko,4675,37
490930117644709,Lubomír Zaorálek,Sociální demokracie,4300,3
214827221987263,Andrej Babiš,Andrej Babiš,3569,3
210778132327279,Prima,Prima,3547,1
223117541065037,Karel Janeček,Karel Janeček,3486,4
107898832590939,European Commission,European Commission,2835,24
40155481542,ROMEA,"ROMEA, o. p. s.",2680,12
252723251252904,Pavel Šotola,KDU-ČSL,2641,58
237070732827050,Slavíme 25 let ČR v NATO,"DALEKOHLEĎ,z.ú.",2627,9
356448681873897,Mikuláš Peksa,Mikuláš Peksa,2254,3
1422617594662590,Petr Mach,SPD a Trikolora,2120,26
105002754733933,Matěj Gregor • Svobodní,Odchod z.s.,2098,4
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,2004,6
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1561,7
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,1497,5
157741540937883,CARE Česká republika,CARE Česká republika,1457,7
206045673805,Deník.cz,VLTAVA LABE MEDIA a.s.,1393,2
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1383,7
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,1362,4
648648261893473,Stačilo,Komunistická strana Čech a Moravy,1153,3
120461304659141,O2 CZ,O2 Czech republic,1130,1
102845669064210,Danuše Nerudová,STAROSTOVÉ A NEZÁVISLÍ,1115,4
280617905401953,Alexandra Udženija,Občanská demokratická strana,1065,1
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1062,2
579215965436046,JSNS,JSNS,1058,8
273367223021327,Veronika Vrecionová,Občanská demokratická strana,966,2
415472211798220,Prague Pride,Prague Pride z.s.,954,23
703613623075671,Taťána Malá,ANO bude líp,943,1
251656685576,KDU-ČSL,KDU-ČSL,884,4
1469427909957890,Reportér magazín,Reportér magazín,842,3
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",830,19
384187235387895,Alena Schillerová,ANO,804,1
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,652,2
397919187215,Evropská komise v ČR,Evropská komise v ČR,637,6
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,619,14
693725074166331,Naše zdravotnictví,Naše zdravotnictví,608,3
799083753454179,Voxpot,Voxpot z. ú.,580,8
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",565,2
111041662264882,Sociální demokracie,Sociální demokracie,528,1
1220066088147062,Ondřej Krutílek,Občanská demokratická strana,526,3
181682098362773,DICK-TATOR,DICK-TATOR,524,1
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,522,7
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,516,1
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,502,4
103567498863549,Ecoista,Ecoista,498,4
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,493,5
1956144064659620,BlueTV,Aliance pro budoucnost,482,7
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,470,4
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,463,1
107736952362788,Denik.to,Denik.to,454,12
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,442,3
733410133337387,Michaela Šojdrová,Michaela Šojdrová,432,7
103194425864690,Roman Roun,Roman Roun,414,1
125830487980906,Solární asociace,Solární asociace,403,2
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,395,9
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",359,5
152744724577432,Jan Janda - kandidát do senátu 2024,Jan Janda,354,8
101279652413889,SPOLU pro Prahu,SPOLU Praha,351,1
711658465662315,XTV,XTV,350,24
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,346,3
176173883021695,Robert Stržínek,Robert Stržínek,325,1
201535993705342,Radim Sršeň,Radim Sršeň,318,6
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,314,4
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,300,2
