Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
487445514669670,Petr Fiala,Občanská demokratická strana,7887,8
214827221987263,Andrej Babiš,Andrej Babiš,6350,3
181682098362773,DICK-TATOR,DICK-TATOR,4579,5
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,4406,9
116445271562547,Dárek,Nadační fond pro Ukrajinu,2140,5
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,2068,7
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",2037,24
354361984407609,Jakub Horak,Jakub Horák,1473,8
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,1470,2
100843142503124,Podcast Zjisti víc,Zjisti víc,1437,4
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1338,47
344542362982337,Heroine.cz,Heroine.cz,1299,25
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1252,2
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1136,6
134019826669125,Česká divočina,Hnutí DUHA,1030,7
125830487980906,Solární asociace,Solární asociace,956,4
224146535014,Mladá ODS,ODS - Občanská demokratická strana,945,1
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",934,5
424114981002397,Český rozhlas Plus,Český rozhlas,901,51
648648261893473,Stačilo,Komunistická strana Čech a Moravy,841,3
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,831,11
107736952362788,Denik.to,Denik.to,816,6
479399375260356,Odkryto.cz,Odkryto.cz,809,2
149343423928630,Big bang resources,These ads ran without a disclaimer,792,4
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,772,1
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,754,4
115106741622257,Roman Ďurčo,Roman Ďurčo,688,1
107448651923170,Řepští sousedé,"Řepští sousedé, z.s.",638,1
693725074166331,Naše zdravotnictví,Naše zdravotnictví,616,5
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,580,4
197010357446014,Ondřej Prokop,Ondrej Prokop,561,2
90002267161,TOP 09,TOP 09,536,4
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,529,2
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,486,2
711658465662315,XTV,XTV,471,30
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,469,1
503783049485741,Mise Drak,TRL Space Systems,464,5
108254295004217,Jdeme o krok dál,Jdeme o krok dál,460,2
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",441,1
384187235387895,Alena Schillerová,ANO,408,2
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,362,6
461430503957309,TOP 09 - Praha 6,TOP 09,324,1
441371052635518,Peter Harvánek - veřejný profil,Peter Harvánek - veřejný profil,313,2
139379141293,Paměť národa,"Post Bellum, z.ú.",305,7
119441777836709,CITYA mobility,CITYA mobility,299,6
350495845030493,Fairtrade Česko a Slovensko,These ads ran without a disclaimer,287,1
213802435698566,TVbydleni.cz,Living Media s.r.o.,285,2
531720823363750,Denní Zprávy,These ads ran without a disclaimer,282,3
119624098506,Kateřina Konečná,Kateřina Konečná,265,2
522777640912635,Jana Bačíková,Jana Bačíková,253,2
111107168256877,Karel Dvořák,Karel Dvořák,252,2
103567498863549,Ecoista,Ecoista,251,3
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,247,2
566910516721103,Jaroslava Pokorná Jermanová,Jaroslava Pokorná Jermanová,245,1
1815379688541829,Jiří Nedvěd - zastupitel,Jiří Nedvěd - zastupitel,243,1
126618627368438,Vojtěch Munzar,Vojtěch Munzar,242,4
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,233,5
162620837267478,Jan Bartošek,Jan Bartošek,231,6
183947234987295,Ministerstvo vnitra,These ads ran without a disclaimer,224,4
1410403182565683,Petr Hladík,KDU-ČSL,220,3
