Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
183287971525413,Chaos12,These ads ran without a disclaimer,81618,6
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,5917,20
122074554119,EU Social,EU Social,4983,6
487445514669670,Petr Fiala,Občanská demokratická strana,4416,6
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,4404,5
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,3506,16
1674237579543550,JTZE,JTZE,2828,3
157741540937883,CARE Česká republika,CARE Česká republika,2683,12
110554525653740,Karlovarský kraj - oficiální stránka,Karlovarský kraj,2359,7
392036724286541,Zdravotnický deník,Limegreen s.r.o.,2336,5
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,2180,5
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,2003,28
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1923,4
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1659,22
93433992603,Hospodářské noviny,Hospodářské noviny,1629,4
181682098362773,DICK-TATOR,DICK-TATOR,1522,3
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1405,11
393968607139343,Good Company Circle,Good Company Circle,1320,7
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1301,9
102778979062932,Digitální Česko,Úřad vlády České republiky,1174,1
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",1147,4
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1092,27
192892890746298,Aerofilms,Aerofilms,1058,4
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",1020,12
424114981002397,Český rozhlas Plus,Český rozhlas,1012,27
1469427909957890,Reportér magazín,Reportér magazín,917,3
197010357446014,Ondřej Prokop,Ondrej Prokop,880,13
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,865,4
103513999144283,Rupesh Prince,These ads ran without a disclaimer,814,6
40155481542,ROMEA,"ROMEA, o. p. s.",733,4
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",710,11
