Disclaimer,Year,Amount spent (CZK)
Pavel Křeček • radní Prahy 3,2025,4498
SPOLU pro Frýdek-Místek,2025,4450
Praha - město pro život,2025,4423
Martin Baxa,2025,4394
SEN 21,2025,4172
Svoboda a přímá demokracie - SPD,2025,4170
Oldřich Hájek - senátor,2025,4053
Martin Sedeke,2025,4040
Brno Brňankám a Brňanům,2025,4024
Nakladatelství Portál,2025,4001
Kateřina Konečná,2025,4000
Museum Kampa,2025,3999
STAN Jihočeský kraj,2025,3955
Bohéma,2025,3877
Česko funguj,2025,3782
Peter Harvánek - veřejný profil,2025,3711
Monika Shaw Salajová - zastupitelka Prahy 5,2025,3612
"Institut svobody a přímé demokracie, z.ú.",2025,3558
Kancelář architekta města Brna,2025,3526
Centrum PANT,2025,3525
"Řepští sousedé, z.s.",2025,3419
Creative Media Group s.r.o.,2025,3414
RiverSong s.r.o.,2025,3367
KVIFF TV,2025,3212
Organizace pro pomoc uprchlíkům z.s.,2025,3204
Roklen,2025,3184
Zuzana Ožanová - poslankyně,2025,3112
Karel Smetana,2025,3069
Reportér magazín,2025,3018
Nadace Neuron,2025,3011
"Pavel Šutka, místostarosta Desítky",2025,3000
Moje Evropa,2025,2998
František Petrtýl - poslanec,2025,2988
Fakt Brno,2025,2963
Statutární město Most,2025,2957
Rostislav Šťastný,2025,2934
Praha 2 Sobě,2025,2910
Ivana Mádlová,2025,2902
Standa z Jablonce,2025,2883
Eva Decroix,2025,2850
"Datarun, a.s.",2025,2775
Voxpot z. ú.,2025,2773
Institut pro politiku a společnost,2025,2667
Hnutí DUHA - Přátelé Země Česká republika,2025,2653
"Ondřej Počarovský, Radní Prahy 10",2025,2645
Nadace Karel Komárek Family Foundation,2025,2590
Tomáš Zdechovský,2025,2527
Nadační fond ŠKODA AUTO,2025,2526
Benjamin Činčila,2025,2515
Jana Pastuchová,2025,2378
PRAHA 5 SOBĚ,2025,2370
ProPce21,2025,2359
Charita ve světě / Caritas Czech Republic in the world,2025,2294
Zlín 21,2025,2282
Čistá a Bezpečná Bílina,2025,2268
Matěj Ondřej Havel - východočeský poslanec,2025,2225
Ondřej Kolář,2025,2214
Jiří Slavík - poslanec,2025,2163
Praha 10,2025,2154
Karel Haas,2025,2130
"Stanislav Nekolný, MBA, místostarosta Prahy 18 - Letňany",2025,2120
Pavla Pivoňka Vaňková STAN,2025,2059
Karel Halačka,2025,2036
European Parliament,2025,2013
Riot Over River - společně proti rasismu,2025,2012
Piráti Kraj Vysočina,2025,1995
Česko-německý fond budoucnosti,2025,1994
revue Prostor,2025,1991
Jan Papajanovský,2025,1978
Martin Červíček,2025,1974
ODS Praha 7,2025,1966
Hanácký folklorní spolek,2025,1962
Michal Zuna,2025,1948
Michal Kučera,2025,1938
Kroky pro demokracii,2025,1933
ŠKODA JS a.s.,2025,1843
Ostravská Drbna,2025,1758
Zdeněk Kettner - SPD,2025,1752
Michal Velička - místostarosta Kohoutovic,2025,1668
Tomáš Prouza,2025,1629
Čestmír Bouda,2025,1608
Chci lepší Chomutov,2025,1599
Jan Holásek - senátor za Hradecko,2025,1597
ANO Jihomoravský kra,2025,1589
Společně proti rasismu a fašismu,2025,1583
Jana Bačíková,2025,1579
CZECH NEWS CENTER a.s.,2025,1569
ODS – Občanská demokratická strana,2025,1501
Produkujeme s.r.o.,2025,1500
Margita Balaštíková - poslankyně,2025,1463
Komunitní centrum CHCIMÍR,2025,1461
TATRA DEFENCE VEHICLE,2025,1427
Jaroslava Pokorná Jermanová,2025,1408
Filozofická fakulta Masarykovy univerzity,2025,1399
Společně pro Prahu 7,2025,1376
EUROPEUM Institute for European Policy,2025,1368
PRO ZNOJMO,2025,1365
KultiVary z.s.,2025,1361
Ing. Roman Kubíček,2025,1357
"JKS Média, z.s.",2025,1335
Pavel Staněk,2025,1308
Jakub Stárek,2025,1305
Jan Richter - poslanec,2025,1292
Monika Oborná,2025,1287
Vojtěch Mikoláš - místostarosta Prahy 12,2025,1275
Krajský úřad Jihomoravského kraje,2025,1259
Jiří Lévay,2025,1254
Právo Respekt Odbornost,2025,1251
ProMOST,2025,1189
