Page ID,Amount spent (CZK),Number of ads in Library,Number of days
157675528222654,25318,213,129
157741540937883,295616,1827,177
158980731475210,39864,43,43
159731441359190,4207,38,38
159935454034044,103457,1776,193
161396423900274,90464,772,86
161588530379314,9272,46,42
162620837267478,47398,1255,284
163179013855806,260251,225,107
163186777045684,193213,1656,44
163914317133681,87645,223,131
164024787880257,28447,191,94
164062240456361,259255,204,76
164815317047040,20107,77,53
169320288528475,3607,68,26
170261140345723,25197,91,25
173001892569503,5614,31,29
173305846086912,158776,849,147
174546373212301,17184,157,51
176173883021695,12048,56,37
177139666120181,35997,135,83
179497582061065,1388316,3366,351
181682098362773,259543,1221,222
185399818317807,16635,50,35
187407575190610,37632,44,28
187868171369428,29756,82,27
189097755083174,25626,466,80
189453853156222,107033,175,52
189520154425807,33802,299,91
189869368286158,21525,80,35
192011067504855,18941,56,36
192892890746298,62267,303,57
192926034666717,22785,213,43
193868833803141,8231,21,21
195066580525128,10765,50,30
195541813650246,7904,60,22
196776900726766,45039,40,21
197010357446014,504953,2442,333
200800880372384,29607,163,101
201535993705342,60183,363,76
203019559564211,18000,257,32
203656526961481,48145,815,73
204790179389399,47294,172,43
204829789371435,17148,164,72
205449429328974,10103,42,41
206127949257172,20829,29,29
206284412716963,32559,191,112
206630153142726,68394,623,223
209788605791373,11926,70,42
211685455639198,611527,2328,289
211760652195532,12441,227,63
211835588951012,36967,154,80
213802435698566,15841,104,53
214647488408004,60051,341,63
214827221987263,1052129,1183,303
214870798627736,17369,35,24
215661292342258,9723,42,36
217379454782587,42474,48,28
218764824871418,150417,543,24
219712354825760,33020,241,45
220092391192485,7397,41,24
221273594412886,20395,314,34
221449021053250,134843,251,67
223117541065037,269492,332,146
223691594909275,33479,450,35
225296017595082,79653,165,23
226132580573947,120569,1461,96
226799101304992,6540,34,29
227416910669250,9379,136,44
228361180513562,106329,565,188
229294384295513,46158,67,42
232458533991461,6376,42,25
232980710165880,12721,59,30
237070732827050,148915,1357,48
238356139361058,83134,184,52
241270839070177,111677,561,49
242117635912490,107070,800,143
245915525601678,83998,589,61
249525561568577,18141,23,23
251245588083351,7698,62,25
251342108296899,489844,1170,141
251448281377394,35613,55,50
252673128998993,72445,304,130
252707698079845,32176,167,113
252723251252904,163001,3395,144
253130661215661,283408,1460,110
253691957825753,9368,153,36
257529307701966,40487,456,181
259737510550867,111404,555,43
264983260329918,224848,1413,379
267751653384029,83251,134,106
268588983221478,52018,186,42
270332350585308,57577,764,53
