ad_id,country,age_range,male,female,unknown
392247607072006,CZ,25-34,3995.0,981.0,25.0
392247607072006,CZ,35-44,7823.0,2594.0,62.0
392247607072006,CZ,45-54,7175.0,3521.0,64.0
392247607072006,CZ,55-64,3966.0,3034.0,33.0
392247607072006,CZ,65+,3188.0,3999.0,40.0
2037999629977741,CZ,25-34,62.0,11.0,1.0
2037999629977741,CZ,35-44,133.0,63.0,1.0
2037999629977741,CZ,45-54,210.0,82.0,4.0
2037999629977741,CZ,55-64,166.0,125.0,2.0
2037999629977741,CZ,65+,192.0,227.0,2.0
516051841004135,CZ,25-34,4176.0,2863.0,35.0
516051841004135,CZ,35-44,7750.0,6302.0,61.0
516051841004135,CZ,45-54,5932.0,5964.0,58.0
516051841004135,CZ,55-64,2437.0,3247.0,20.0
516051841004135,CZ,65+,1451.0,2760.0,26.0
8316444318468748,CZ,25-34,4603.0,3165.0,37.0
8316444318468748,CZ,35-44,8762.0,6735.0,65.0
8316444318468748,CZ,45-54,6458.0,6393.0,67.0
8316444318468748,CZ,55-64,2593.0,3479.0,24.0
8316444318468748,CZ,65+,1501.0,2698.0,24.0
886688790015834,CZ,25-34,952.0,963.0,8.0
886688790015834,CZ,35-44,2805.0,3089.0,26.0
886688790015834,CZ,45-54,2545.0,3384.0,27.0
886688790015834,CZ,55-64,1488.0,2719.0,18.0
886688790015834,CZ,65+,1387.0,3179.0,20.0
358917827315053,CZ,25-34,6611.0,2425.0,45.0
358917827315053,CZ,35-44,17780.0,8607.0,184.0
358917827315053,CZ,45-54,22427.0,14853.0,276.0
358917827315053,CZ,55-64,15282.0,14208.0,157.0
358917827315053,CZ,65+,12585.0,16599.0,207.0
1642504746294615,CZ,45-54,32530.0,30591.0,371.0
1642504746294615,CZ,65+,6468.0,9552.0,117.0
1642504746294615,CZ,55-64,12252.0,14861.0,126.0
1642504746294615,CZ,35-44,46621.0,36502.0,454.0
1642504746294615,CZ,25-34,28174.0,20889.0,180.0
1181114443174301,CZ,25-34,2678.0,1352.0,12.0
1181114443174301,CZ,35-44,4516.0,2930.0,41.0
1181114443174301,CZ,45-54,3361.0,2717.0,38.0
1181114443174301,CZ,55-64,1211.0,1517.0,15.0
1181114443174301,CZ,65+,660.0,995.0,13.0
1070049234464411,CZ,25-34,10069.0,4665.0,61.0
1070049234464411,CZ,35-44,15631.0,8007.0,109.0
1070049234464411,CZ,45-54,10058.0,6975.0,102.0
1070049234464411,CZ,55-64,3296.0,3188.0,39.0
1070049234464411,CZ,65+,1557.0,1805.0,29.0
514637784651259,CZ,25-34,6048.0,4246.0,38.0
514637784651259,CZ,35-44,9661.0,6668.0,113.0
514637784651259,CZ,45-54,6878.0,6000.0,90.0
514637784651259,CZ,55-64,2428.0,2497.0,28.0
514637784651259,CZ,65+,1403.0,1734.0,35.0
554855320208420,CZ,25-34,1920.0,2646.0,21.0
554855320208420,CZ,35-44,5551.0,8911.0,60.0
554855320208420,CZ,45-54,5723.0,10936.0,98.0
554855320208420,CZ,55-64,3764.0,9897.0,65.0
554855320208420,CZ,65+,3784.0,12778.0,74.0
886504453342821,CZ,25-34,6457.0,2443.0,35.0
886504453342821,CZ,35-44,14808.0,8247.0,131.0
886504453342821,CZ,45-54,13325.0,9927.0,135.0
886504453342821,CZ,55-64,7848.0,7409.0,77.0
886504453342821,CZ,65+,7212.0,8040.0,100.0
1927912214394407,CZ,25-34,4412.0,4517.0,39.0
1927912214394407,CZ,35-44,9588.0,11615.0,101.0
1927912214394407,CZ,45-54,5826.0,7567.0,79.0
1927912214394407,CZ,55-64,1901.0,3291.0,24.0
1927912214394407,CZ,65+,1326.0,2590.0,22.0
1539079610033426,CZ,45-54,7168.0,6079.0,69.0
1539079610033426,CZ,65+,1242.0,1782.0,24.0
1539079610033426,CZ,55-64,2650.0,3027.0,25.0
1539079610033426,CZ,35-44,9775.0,6924.0,86.0
1539079610033426,CZ,25-34,6210.0,3606.0,37.0
495805443256864,CZ,25-34,2514.0,1163.0,12.0
495805443256864,CZ,35-44,4072.0,2402.0,33.0
495805443256864,CZ,45-54,3116.0,2515.0,38.0
495805443256864,CZ,55-64,1176.0,1400.0,15.0
495805443256864,CZ,65+,671.0,987.0,12.0
1741817253311170,CZ,25-34,4274.0,2515.0,18.0
1741817253311170,CZ,35-44,7478.0,5375.0,59.0
1741817253311170,CZ,45-54,5809.0,5276.0,57.0
1741817253311170,CZ,55-64,2219.0,2830.0,23.0
1741817253311170,CZ,65+,1308.0,1983.0,23.0
507819615283905,CZ,25-34,15598.0,9036.0,96.0
507819615283905,CZ,35-44,25555.0,16122.0,184.0
507819615283905,CZ,45-54,17755.0,13654.0,164.0
507819615283905,CZ,55-64,6308.0,6736.0,60.0
507819615283905,CZ,65+,3111.0,3879.0,54.0
843388574528188,CZ,25-34,14037.0,7709.0,76.0
843388574528188,CZ,35-44,22004.0,14390.0,173.0
843388574528188,CZ,45-54,16111.0,12931.0,156.0
843388574528188,CZ,55-64,5596.0,6340.0,65.0
843388574528188,CZ,65+,2947.0,3759.0,50.0
1463989460927489,CZ,25-34,4202.0,2389.0,21.0
1463989460927489,CZ,35-44,7437.0,5000.0,53.0
1463989460927489,CZ,45-54,5885.0,5089.0,53.0
1463989460927489,CZ,55-64,2277.0,2807.0,23.0
1463989460927489,CZ,65+,1392.0,1994.0,25.0
3149498295190612,CZ,25-34,15716.0,13098.0,91.0
3149498295190612,CZ,35-44,22509.0,21249.0,169.0
3149498295190612,CZ,45-54,14531.0,15654.0,138.0
3149498295190612,CZ,55-64,4425.0,6484.0,46.0
3149498295190612,CZ,65+,2395.0,3698.0,46.0
1041658997369088,CZ,45-54,13380.0,11244.0,133.0
1041658997369088,CZ,65+,2526.0,3689.0,53.0
1041658997369088,CZ,55-64,4755.0,5717.0,52.0
1041658997369088,CZ,35-44,18248.0,13253.0,151.0
1041658997369088,CZ,25-34,10894.0,7066.0,71.0
1891605788001863,CZ,25-34,15554.0,10156.0,94.0
1891605788001863,CZ,35-44,23991.0,16822.0,189.0
1891605788001863,CZ,45-54,16690.0,14156.0,185.0
1891605788001863,CZ,55-64,6383.0,6944.0,67.0
1891605788001863,CZ,65+,3010.0,4327.0,66.0
2314621662218483,CZ,25-34,3849.0,2860.0,16.0
2314621662218483,CZ,35-44,6031.0,5021.0,55.0
2314621662218483,CZ,45-54,4619.0,4399.0,51.0
2314621662218483,CZ,55-64,1940.0,2310.0,24.0
2314621662218483,CZ,65+,1105.0,1614.0,20.0
879068974142060,CZ,25-34,5779.0,3901.0,39.0
879068974142060,CZ,35-44,9642.0,7027.0,82.0
879068974142060,CZ,45-54,7218.0,6075.0,80.0
879068974142060,CZ,55-64,2769.0,2939.0,30.0
879068974142060,CZ,65+,1438.0,1881.0,19.0
1306356100747797,CZ,25-34,8341.0,5016.0,51.0
1306356100747797,CZ,35-44,13498.0,8947.0,124.0
1306356100747797,CZ,45-54,9322.0,7652.0,129.0
1306356100747797,CZ,55-64,3302.0,3239.0,39.0
1306356100747797,CZ,65+,1705.0,1965.0,50.0
515479674675039,CZ,65+,1472.0,1991.0,21.0
515479674675039,CZ,25-34,6004.0,3706.0,33.0
515479674675039,CZ,35-44,9990.0,6973.0,93.0
515479674675039,CZ,45-54,7524.0,6178.0,73.0
515479674675039,CZ,55-64,2883.0,3093.0,31.0
1697151371020419,CZ,25-34,7800.0,4566.0,46.0
1697151371020419,CZ,35-44,13012.0,7871.0,100.0
1697151371020419,CZ,45-54,8728.0,6286.0,98.0
1697151371020419,CZ,55-64,2966.0,2807.0,31.0
1697151371020419,CZ,65+,1605.0,1681.0,20.0
1237845557566006,CZ,25-34,5759.0,3897.0,26.0
1237845557566006,CZ,35-44,8559.0,6593.0,70.0
1237845557566006,CZ,45-54,6555.0,5952.0,75.0
1237845557566006,CZ,55-64,2550.0,3087.0,40.0
1237845557566006,CZ,65+,1412.0,2006.0,35.0
2019361908514993,CZ,25-34,7968.0,4309.0,43.0
2019361908514993,CZ,35-44,12877.0,7895.0,101.0
2019361908514993,CZ,45-54,9421.0,6953.0,109.0
2019361908514993,CZ,55-64,3428.0,3114.0,42.0
2019361908514993,CZ,65+,1691.0,1921.0,37.0
1603660537174840,CZ,25-34,5482.0,3862.0,27.0
1603660537174840,CZ,35-44,8806.0,6855.0,75.0
1603660537174840,CZ,45-54,6698.0,6062.0,67.0
1603660537174840,CZ,55-64,2523.0,3047.0,32.0
1603660537174840,CZ,65+,1320.0,1806.0,26.0
521024053905784,CZ,25-34,6812.0,4440.0,45.0
521024053905784,CZ,35-44,11099.0,7931.0,97.0
521024053905784,CZ,45-54,7682.0,6981.0,72.0
521024053905784,CZ,55-64,3028.0,3458.0,22.0
521024053905784,CZ,65+,1531.0,2074.0,26.0
1215440596366466,CZ,65+,1166.0,1534.0,20.0
1215440596366466,CZ,25-34,5202.0,3745.0,29.0
1215440596366466,CZ,35-44,7886.0,6467.0,61.0
1215440596366466,CZ,45-54,6050.0,5648.0,58.0
1215440596366466,CZ,55-64,2206.0,2503.0,22.0
1069076601344822,CZ,25-34,5664.0,3787.0,38.0
1069076601344822,CZ,35-44,9143.0,7085.0,73.0
1069076601344822,CZ,45-54,6841.0,6358.0,78.0
1069076601344822,CZ,55-64,2478.0,2824.0,34.0
1069076601344822,CZ,65+,1333.0,1847.0,37.0
