ad_id,country,age_range,male,female,unknown
3803492939912540,CZ,18-24,4278.0,1993.0,41.0
3803492939912540,CZ,25-34,15404.0,4757.0,73.0
3803492939912540,CZ,35-44,9910.0,3948.0,62.0
3803492939912540,CZ,45-54,5311.0,3211.0,46.0
3803492939912540,CZ,55-64,1580.0,1266.0,5.0
1773368130091815,CZ,18-24,6407.0,4462.0,233.0
1773368130091815,CZ,25-34,10582.0,2983.0,80.0
1773368130091815,CZ,35-44,10863.0,3819.0,113.0
1773368130091815,CZ,45-54,9957.0,5330.0,98.0
1773368130091815,CZ,55-64,5384.0,5416.0,50.0
565072226126593,CZ,18-24,5889.0,3510.0,153.0
565072226126593,CZ,25-34,12833.0,3382.0,114.0
565072226126593,CZ,35-44,11946.0,3723.0,101.0
565072226126593,CZ,45-54,9681.0,4867.0,108.0
565072226126593,CZ,55-64,5222.0,4540.0,41.0
576660221548161,CZ,18-24,5883.0,3571.0,199.0
576660221548161,CZ,25-34,13214.0,3476.0,97.0
576660221548161,CZ,35-44,12459.0,3652.0,115.0
576660221548161,CZ,45-54,10823.0,4560.0,113.0
576660221548161,CZ,55-64,5327.0,3947.0,36.0
2625445110974672,CZ,18-24,5747.0,3289.0,132.0
2625445110974672,CZ,25-34,14350.0,3634.0,97.0
2625445110974672,CZ,35-44,12235.0,3353.0,95.0
2625445110974672,CZ,45-54,9107.0,3804.0,96.0
2625445110974672,CZ,55-64,3843.0,2928.0,37.0
1094426728756560,CZ,25-34,13859.0,3655.0,96.0
1094426728756560,CZ,35-44,14261.0,4331.0,121.0
1094426728756560,CZ,45-54,13173.0,6120.0,126.0
1094426728756560,CZ,55-64,6635.0,5936.0,58.0
1278440749978698,CZ,18-24,3847.0,1830.0,45.0
1278440749978698,CZ,25-34,13644.0,3786.0,64.0
1278440749978698,CZ,35-44,13015.0,4449.0,97.0
1278440749978698,CZ,45-54,10642.0,5703.0,71.0
1278440749978698,CZ,55-64,4446.0,4214.0,29.0
3954907824795908,CZ,18-24,985.0,42.0,24.0
3954907824795908,CZ,25-34,5855.0,161.0,18.0
3954907824795908,CZ,35-44,8485.0,277.0,54.0
3954907824795908,CZ,45-54,10417.0,904.0,70.0
3954907824795908,CZ,55-64,5345.0,1242.0,26.0
542329285205613,CZ,18-24,4845.0,2173.0,42.0
542329285205613,CZ,25-34,16687.0,5866.0,70.0
542329285205613,CZ,35-44,7565.0,2214.0,67.0
542329285205613,CZ,45-54,493.0,154.0,5.0
583498407526448,CZ,18-24,575.0,540.0,17.0
583498407526448,CZ,25-34,1937.0,1512.0,23.0
583498407526448,CZ,35-44,218.0,200.0,1.0
902207905340106,CZ,18-24,544.0,470.0,11.0
902207905340106,CZ,25-34,1964.0,1426.0,19.0
902207905340106,CZ,35-44,230.0,164.0,2.0
468335149597214,CZ,18-24,1693.0,31.0,10.0
468335149597214,CZ,45-54,6461.0,617.0,41.0
468335149597214,CZ,65+,3925.0,2771.0,28.0
468335149597214,CZ,55-64,5356.0,1777.0,22.0
468335149597214,CZ,35-44,7283.0,233.0,37.0
468335149597214,CZ,25-34,7969.0,129.0,30.0
485346157860673,CZ,18-24,151.0,16.0,4.0
485346157860673,CZ,45-54,1581.0,214.0,11.0
485346157860673,CZ,65+,1669.0,1194.0,14.0
485346157860673,CZ,55-64,1703.0,625.0,13.0
485346157860673,CZ,35-44,901.0,56.0,10.0
485346157860673,CZ,25-34,471.0,51.0,5.0
1242706853645614,CZ,18-24,1664.0,71.0,41.0
1242706853645614,CZ,45-54,7545.0,847.0,48.0
1242706853645614,CZ,65+,2846.0,2144.0,38.0
1242706853645614,CZ,55-64,4436.0,1480.0,22.0
1242706853645614,CZ,35-44,7753.0,371.0,45.0
1242706853645614,CZ,25-34,6618.0,212.0,30.0
