ad_id,age,gender,percentage
557894510551334,18-24,female,0.002102
557894510551334,45-54,male,0.165528
557894510551334,65+,male,0.120862
557894510551334,65+,female,0.171308
557894510551334,55-64,unknown,0.001051
557894510551334,55-64,male,0.153967
557894510551334,55-64,female,0.143458
557894510551334,45-54,unknown,0.002102
557894510551334,45-54,female,0.080925
557894510551334,18-24,male,0.012612
557894510551334,35-44,male,0.084078
557894510551334,35-44,female,0.01629
557894510551334,25-34,unknown,0.001051
557894510551334,25-34,male,0.03836
557894510551334,25-34,female,0.004204
557894510551334,18-24,unknown,0.001051
557894510551334,65+,unknown,0.001051
988158823335274,18-24,female,0.002447
988158823335274,45-54,male,0.204527
988158823335274,65+,male,0.143148
988158823335274,65+,female,0.130302
988158823335274,55-64,unknown,0.00102
988158823335274,55-64,male,0.16823
988158823335274,55-64,female,0.076468
988158823335274,45-54,unknown,0.001631
988158823335274,45-54,female,0.054445
988158823335274,18-24,male,0.025489
988158823335274,35-44,unknown,0.00102
988158823335274,35-44,male,0.10624
988158823335274,35-44,female,0.018964
988158823335274,25-34,male,0.057096
988158823335274,25-34,female,0.007341
988158823335274,18-24,unknown,0.000408
988158823335274,65+,unknown,0.001223
510978144642266,18-24,female,0.001007
510978144642266,45-54,male,0.122074
510978144642266,65+,male,0.167883
510978144642266,65+,female,0.240624
510978144642266,55-64,unknown,0.00151
510978144642266,55-64,male,0.169142
510978144642266,55-64,female,0.147747
510978144642266,45-54,unknown,0.001762
510978144642266,45-54,female,0.054115
510978144642266,18-24,male,0.006292
510978144642266,35-44,male,0.05185
510978144642266,35-44,female,0.010823
510978144642266,25-34,unknown,0.000503
510978144642266,25-34,male,0.020891
510978144642266,25-34,female,0.002769
510978144642266,18-24,unknown,0.000252
510978144642266,65+,unknown,0.000755
1259534795158559,18-24,female,0.007356
1259534795158559,45-54,female,0.068369
1259534795158559,65+,male,0.138468
1259534795158559,65+,female,0.267849
1259534795158559,55-64,male,0.134141
1259534795158559,55-64,female,0.139766
1259534795158559,45-54,unknown,0.000433
1259534795158559,45-54,male,0.104284
1259534795158559,35-44,unknown,0.000865
1259534795158559,18-24,male,0.013414
1259534795158559,35-44,male,0.054089
1259534795158559,35-44,female,0.03029
1259534795158559,25-34,unknown,0.000433
1259534795158559,25-34,male,0.02553
1259534795158559,25-34,female,0.012549
1259534795158559,18-24,unknown,0.001298
1259534795158559,65+,unknown,0.000865
1991632078024708,18-24,female,0.025143
1991632078024708,18-24,male,0.021714
1991632078024708,18-24,unknown,0.001714
1991632078024708,25-34,female,0.045714
1991632078024708,25-34,male,0.034857
