ad_id,age,gender,percentage
914730397390747,18-24,female,0.021011
914730397390747,18-24,male,0.048338
914730397390747,18-24,unknown,0.005539
914730397390747,25-34,female,0.041289
914730397390747,25-34,male,0.176966
914730397390747,25-34,unknown,0.00206
914730397390747,35-44,female,0.059553
914730397390747,35-44,male,0.197794
914730397390747,35-44,unknown,0.001556
914730397390747,45-54,female,0.079511
914730397390747,45-54,male,0.199533
914730397390747,45-54,unknown,0.001556
914730397390747,55-64,female,0.071409
914730397390747,55-64,male,0.093015
914730397390747,55-64,unknown,0.00087
3393849777418338,18-24,female,0.013181
3393849777418338,18-24,male,0.05189
3393849777418338,18-24,unknown,0.002544
3393849777418338,25-34,female,0.02315
3393849777418338,25-34,male,0.202219
3393849777418338,25-34,unknown,0.001543
3393849777418338,35-44,female,0.037624
3393849777418338,35-44,male,0.234879
3393849777418338,35-44,unknown,0.001418
3393849777418338,45-54,female,0.049262
3393849777418338,45-54,male,0.226621
3393849777418338,45-54,unknown,0.001877
3393849777418338,55-64,female,0.04484
3393849777418338,55-64,male,0.108075
3393849777418338,55-64,unknown,0.000876
877988764497403,18-24,female,0.036422
877988764497403,18-24,male,0.055052
877988764497403,18-24,unknown,0.010885
877988764497403,25-34,female,0.054521
877988764497403,25-34,male,0.163835
877988764497403,25-34,unknown,0.004074
877988764497403,35-44,female,0.062137
877988764497403,35-44,male,0.195604
877988764497403,35-44,unknown,0.002753
877988764497403,45-54,female,0.081475
877988764497403,45-54,male,0.177329
877988764497403,45-54,unknown,0.002431
877988764497403,55-64,female,0.06621
877988764497403,55-64,male,0.086
877988764497403,55-64,unknown,0.001272
1537281813587854,18-24,female,0.01431
1537281813587854,18-24,male,0.042013
1537281813587854,18-24,unknown,0.001836
1537281813587854,25-34,female,0.03127
1537281813587854,25-34,male,0.173081
1537281813587854,25-34,unknown,0.001606
1537281813587854,35-44,female,0.04629
1537281813587854,35-44,male,0.222772
1537281813587854,35-44,unknown,0.002023
1537281813587854,45-54,female,0.069049
1537281813587854,45-54,male,0.22129
1537281813587854,45-54,unknown,0.002357
1537281813587854,55-64,female,0.062019
1537281813587854,55-64,male,0.10931
1537281813587854,55-64,unknown,0.000772
1316957255855043,18-24,female,0.022609
1316957255855043,18-24,male,0.039227
1316957255855043,18-24,unknown,0.007351
1316957255855043,25-34,female,0.041203
1316957255855043,25-34,male,0.140876
1316957255855043,25-34,unknown,0.002347
1316957255855043,35-44,female,0.061728
1316957255855043,35-44,male,0.19448
1316957255855043,35-44,unknown,0.002456
1316957255855043,45-54,female,0.08758
1316957255855043,45-54,male,0.206094
1316957255855043,45-54,unknown,0.002301
1316957255855043,55-64,female,0.08216
1316957255855043,55-64,male,0.108599
1316957255855043,55-64,unknown,0.000988
2400818756952596,18-24,female,0.013592
2400818756952596,45-54,male,0.201214
2400818756952596,65+,male,0.094053
2400818756952596,65+,female,0.082201
2400818756952596,55-64,unknown,0.000809
2400818756952596,55-64,male,0.115736
2400818756952596,55-64,female,0.064482
2400818756952596,45-54,unknown,0.002265
2400818756952596,45-54,female,0.058981
2400818756952596,18-24,male,0.025809
2400818756952596,35-44,unknown,0.001659
2400818756952596,35-44,male,0.17051
2400818756952596,35-44,female,0.036327
2400818756952596,25-34,unknown,0.001497
2400818756952596,25-34,male,0.10538
2400818756952596,25-34,female,0.021238
2400818756952596,18-24,unknown,0.00267
2400818756952596,65+,unknown,0.001578
1143213763802761,18-24,female,0.068337
1143213763802761,45-54,male,0.029014
1143213763802761,65+,male,0.011128
1143213763802761,65+,female,0.0213
1143213763802761,55-64,unknown,0.016658
1143213763802761,55-64,male,0.011469
1143213763802761,55-64,female,0.017135
1143213763802761,45-54,unknown,0.02642
1143213763802761,45-54,female,0.023484
1143213763802761,18-24,male,0.230816
1143213763802761,35-44,unknown,0.023894
1143213763802761,35-44,male,0.059121
1143213763802761,35-44,female,0.022938
1143213763802761,25-34,unknown,0.056731
1143213763802761,25-34,male,0.151557
1143213763802761,25-34,female,0.047925
1143213763802761,18-24,unknown,0.162002
1143213763802761,65+,unknown,0.020071
580566821231220,18-24,female,0.028522
580566821231220,18-24,male,0.074777
580566821231220,18-24,unknown,0.01264
580566821231220,25-34,female,0.033283
580566821231220,25-34,male,0.185893
580566821231220,25-34,unknown,0.003721
580566821231220,35-44,female,0.043823
580566821231220,35-44,male,0.2077
580566821231220,35-44,unknown,0.002287
580566821231220,45-54,female,0.059102
580566821231220,45-54,male,0.192691
580566821231220,45-54,unknown,0.002515
580566821231220,55-64,female,0.056275
580566821231220,55-64,male,0.095836
580566821231220,55-64,unknown,0.000935
1226719235103443,18-24,female,0.024051
1226719235103443,18-24,male,0.045701
1226719235103443,18-24,unknown,0.008832
1226719235103443,25-34,female,0.030962
1226719235103443,25-34,male,0.150778
1226719235103443,25-34,unknown,0.003085
1226719235103443,35-44,female,0.046428
1226719235103443,35-44,male,0.21084
1226719235103443,35-44,unknown,0.002197
1226719235103443,45-54,female,0.07045
1226719235103443,45-54,male,0.219307
1226719235103443,45-54,unknown,0.002619
1226719235103443,55-64,female,0.068689
1226719235103443,55-64,male,0.115088
1226719235103443,55-64,unknown,0.000975
1125337329103416,18-24,female,0.024806
1125337329103416,18-24,male,0.046088
1125337329103416,18-24,unknown,0.006018
1125337329103416,25-34,female,0.018347
1125337329103416,25-34,male,0.121679
1125337329103416,25-34,unknown,0.001761
1125337329103416,35-44,female,0.034786
1125337329103416,35-44,male,0.195655
1125337329103416,35-44,unknown,0.001908
1125337329103416,45-54,female,0.064289
1125337329103416,45-54,male,0.238808
1125337329103416,45-54,unknown,0.002495
1125337329103416,55-64,female,0.093645
1125337329103416,55-64,male,0.148686
1125337329103416,55-64,unknown,0.001027
3958605657762361,18-24,female,0.018805
3958605657762361,18-24,male,0.102948
3958605657762361,18-24,unknown,0.000797
3958605657762361,25-34,female,0.065817
3958605657762361,25-34,male,0.313307
3958605657762361,25-34,unknown,0.002072
3958605657762361,35-44,female,0.039522
3958605657762361,35-44,male,0.186135
3958605657762361,35-44,unknown,0.001434
3958605657762361,45-54,female,0.042231
3958605657762361,45-54,male,0.128606
3958605657762361,45-54,unknown,0.001912
3958605657762361,55-64,female,0.0349
3958605657762361,55-64,male,0.060717
3958605657762361,55-64,unknown,0.000797
595451549645929,18-24,female,0.023762
595451549645929,18-24,male,0.050061
595451549645929,18-24,unknown,0.000599
595451549645929,25-34,female,0.029813
595451549645929,25-34,male,0.152559
595451549645929,25-34,unknown,0.000978
595451549645929,35-44,female,0.04439
595451549645929,35-44,male,0.210048
595451549645929,35-44,unknown,0.001937
595451549645929,45-54,female,0.06977
595451549645929,45-54,male,0.223187
595451549645929,45-54,unknown,0.002276
595451549645929,55-64,female,0.071966
595451549645929,55-64,male,0.117654
595451549645929,55-64,unknown,0.000998
961279565865899,18-24,female,0.075567
961279565865899,45-54,male,0.045583
961279565865899,65+,male,0.013979
961279565865899,65+,female,0.013776
961279565865899,55-64,unknown,0.010737
961279565865899,55-64,male,0.016613
961279565865899,55-64,female,0.01175
961279565865899,45-54,unknown,0.020867
961279565865899,45-54,female,0.023703
961279565865899,18-24,male,0.253241
961279565865899,35-44,unknown,0.023298
961279565865899,35-44,male,0.079214
961279565865899,35-44,female,0.019246
961279565865899,25-34,unknown,0.037075
961279565865899,25-34,male,0.205429
961279565865899,25-34,female,0.0391
961279565865899,18-24,unknown,0.094814
961279565865899,65+,unknown,0.016005
1113054136394849,18-24,female,0.018987
1113054136394849,18-24,male,0.038949
1113054136394849,18-24,unknown,0.000611
1113054136394849,25-34,female,0.03139
1113054136394849,25-34,male,0.139421
1113054136394849,25-34,unknown,0.000941
1113054136394849,35-44,female,0.054503
1113054136394849,35-44,male,0.195123
1113054136394849,35-44,unknown,0.00174
1113054136394849,45-54,female,0.092254
1113054136394849,45-54,male,0.209337
1113054136394849,45-54,unknown,0.002128
1113054136394849,55-64,female,0.098755
1113054136394849,55-64,male,0.114803
1113054136394849,55-64,unknown,0.001058
1768811643892659,18-24,female,0.028318
1768811643892659,18-24,male,0.037909
1768811643892659,18-24,unknown,0.00236
1768811643892659,25-34,female,0.11649
1768811643892659,25-34,male,0.270787
1768811643892659,25-34,unknown,0.003304
1768811643892659,35-44,female,0.143594
1768811643892659,35-44,male,0.340688
1768811643892659,35-44,unknown,0.003675
1768811643892659,45-54,female,0.017496
1768811643892659,45-54,male,0.034992
1768811643892659,45-54,unknown,0.000388
8865651740183988,18-24,male,2.9E-5
8865651740183988,25-34,female,5.7E-5
8865651740183988,25-34,male,4.3E-5
8865651740183988,35-44,male,2.9E-5
8865651740183988,45-54,female,0.114247
8865651740183988,45-54,male,0.195364
8865651740183988,45-54,unknown,0.006309
8865651740183988,55-64,female,0.182932
8865651740183988,55-64,male,0.229178
8865651740183988,55-64,unknown,0.005809
8865651740183988,65+,female,0.137256
8865651740183988,65+,male,0.123253
8865651740183988,65+,unknown,0.005453
8865651740183988,Unknown,unknown,4.3E-5
1706257093283742,18-24,female,0.108959
1706257093283742,18-24,male,0.200128
1706257093283742,18-24,unknown,0.019523
1706257093283742,25-34,female,0.134389
1706257093283742,25-34,male,0.472838
1706257093283742,25-34,unknown,0.005924
1706257093283742,35-44,female,0.013356
1706257093283742,35-44,male,0.044415
1706257093283742,35-44,unknown,0.000468
1331020668275546,18-24,female,0.099864
1331020668275546,18-24,male,0.169087
1331020668275546,18-24,unknown,0.005451
1331020668275546,25-34,female,0.072766
1331020668275546,25-34,male,0.277516
1331020668275546,25-34,unknown,0.002433
1331020668275546,35-44,female,0.056239
1331020668275546,35-44,male,0.190967
1331020668275546,35-44,unknown,0.001499
1331020668275546,45-54,female,0.036539
1331020668275546,45-54,male,0.087074
1331020668275546,45-54,unknown,0.000565
2307161509647682,18-24,female,0.060511
2307161509647682,18-24,male,0.176804
2307161509647682,18-24,unknown,0.003467
2307161509647682,25-34,female,0.187835
2307161509647682,25-34,male,0.483139
2307161509647682,25-34,unknown,0.003782
2307161509647682,35-44,female,0.022691
2307161509647682,35-44,male,0.060826
2307161509647682,35-44,unknown,0.000945
475716938391434,18-24,female,0.186272
475716938391434,45-54,male,0.023989
475716938391434,65+,male,0.014897
475716938391434,65+,female,0.012137
475716938391434,55-64,unknown,0.000244
475716938391434,55-64,male,0.009255
475716938391434,55-64,female,0.009295
475716938391434,45-54,unknown,0.000406
475716938391434,45-54,female,0.018915
475716938391434,18-24,male,0.337149
475716938391434,35-44,unknown,0.001583
475716938391434,35-44,male,0.055894
475716938391434,35-44,female,0.029266
475716938391434,25-34,unknown,0.007469
475716938391434,25-34,male,0.187612
475716938391434,25-34,female,0.081223
475716938391434,18-24,unknown,0.023096
475716938391434,65+,unknown,0.001299
3803492939912540,18-24,female,0.038412
3803492939912540,18-24,male,0.082452
3803492939912540,18-24,unknown,0.00079
3803492939912540,25-34,female,0.091684
3803492939912540,25-34,male,0.296887
3803492939912540,25-34,unknown,0.001407
3803492939912540,35-44,female,0.076091
3803492939912540,35-44,male,0.190999
3803492939912540,35-44,unknown,0.001195
3803492939912540,45-54,female,0.061887
3803492939912540,45-54,male,0.102361
3803492939912540,45-54,unknown,0.000887
3803492939912540,55-64,female,0.0244
3803492939912540,55-64,male,0.030452
3803492939912540,55-64,unknown,9.6E-5
1773368130091815,18-24,female,0.067835
1773368130091815,18-24,male,0.097405
1773368130091815,18-24,unknown,0.003542
1773368130091815,25-34,female,0.04535
1773368130091815,25-34,male,0.160877
1773368130091815,25-34,unknown,0.001216
1773368130091815,35-44,female,0.05806
1773368130091815,35-44,male,0.165149
1773368130091815,35-44,unknown,0.001718
1773368130091815,45-54,female,0.081031
1773368130091815,45-54,male,0.151375
1773368130091815,45-54,unknown,0.00149
1773368130091815,55-64,female,0.082339
1773368130091815,55-64,male,0.081852
1773368130091815,55-64,unknown,0.00076
565072226126593,18-24,female,0.053093
565072226126593,18-24,male,0.089079
565072226126593,18-24,unknown,0.002314
565072226126593,25-34,female,0.051157
565072226126593,25-34,male,0.194116
565072226126593,25-34,unknown,0.001724
565072226126593,35-44,female,0.056315
565072226126593,35-44,male,0.180699
565072226126593,35-44,unknown,0.001528
565072226126593,45-54,female,0.07362
565072226126593,45-54,male,0.146438
565072226126593,45-54,unknown,0.001634
565072226126593,55-64,female,0.068673
565072226126593,55-64,male,0.07899
565072226126593,55-64,unknown,0.00062
576660221548161,18-24,female,0.052926
576660221548161,18-24,male,0.087192
576660221548161,18-24,unknown,0.002949
576660221548161,25-34,female,0.051518
576660221548161,25-34,male,0.195844
576660221548161,25-34,unknown,0.001438
576660221548161,35-44,female,0.054126
576660221548161,35-44,male,0.184654
576660221548161,35-44,unknown,0.001704
576660221548161,45-54,female,0.067584
