ad_id,country,age_range,male,female,unknown
571896965547414,CZ,18-24,187.0,347,5.0
571896965547414,CZ,45-54,2382.0,4302,24.0
571896965547414,CZ,65+,356.0,989,2.0
571896965547414,CZ,55-64,1077.0,1969,16.0
571896965547414,CZ,35-44,2958.0,4993,24.0
571896965547414,CZ,25-34,1616.0,2336,13.0
2372307699785054,CZ,18-24,12.0,22,
2372307699785054,CZ,25-34,135.0,90,
2372307699785054,CZ,35-44,399.0,437,
2372307699785054,CZ,45-54,472.0,579,3.0
2372307699785054,CZ,55-64,262.0,421,
2372307699785054,CZ,65+,68.0,235,1.0
1645700829631103,CZ,18-24,109.0,440,2.0
1645700829631103,CZ,45-54,1701.0,5189,14.0
1645700829631103,CZ,65+,326.0,1496,2.0
1645700829631103,CZ,55-64,1120.0,3383,8.0
1645700829631103,CZ,35-44,1239.0,5428,14.0
1645700829631103,CZ,25-34,709.0,2684,3.0
933063195388931,CZ,18-24,9.0,66,
933063195388931,CZ,25-34,75.0,580,
933063195388931,CZ,35-44,115.0,1016,1.0
933063195388931,CZ,45-54,107.0,763,3.0
933063195388931,CZ,55-64,54.0,326,
933063195388931,CZ,65+,22.0,169,1.0
1117886149761019,CZ,18-24,333.0,1810,3.0
1117886149761019,CZ,45-54,1012.0,4194,11.0
1117886149761019,CZ,65+,181.0,1185,3.0
1117886149761019,CZ,55-64,666.0,3496,7.0
1117886149761019,CZ,35-44,2166.0,5087,13.0
1117886149761019,CZ,25-34,2650.0,7143,26.0
8502610509815543,CZ,18-24,273.0,344,3.0
8502610509815543,CZ,45-54,3097.0,3985,14.0
8502610509815543,CZ,65+,385.0,848,2.0
8502610509815543,CZ,55-64,1595.0,2271,7.0
8502610509815543,CZ,35-44,3130.0,3237,15.0
8502610509815543,CZ,25-34,2458.0,1935,10.0
807583424623131,CZ,18-24,394.0,1601,4.0
807583424623131,CZ,45-54,1339.0,3902,7.0
807583424623131,CZ,65+,258.0,1243,4.0
807583424623131,CZ,55-64,925.0,3190,5.0
807583424623131,CZ,35-44,1852.0,3690,11.0
807583424623131,CZ,25-34,2053.0,4393,14.0
1078269420379586,CZ,18-24,58.0,187,
1078269420379586,CZ,45-54,1140.0,4472,7.0
1078269420379586,CZ,65+,194.0,1042,3.0
1078269420379586,CZ,55-64,750.0,3262,6.0
1078269420379586,CZ,35-44,828.0,1993,5.0
1078269420379586,CZ,25-34,533.0,842,1.0
886744606173158,CZ,18-24,,16,
886744606173158,CZ,45-54,6.0,77,
886744606173158,CZ,55-64,1.0,41,
886744606173158,CZ,25-34,10.0,196,
886744606173158,CZ,35-44,32.0,208,
886744606173158,CZ,65+,3.0,20,
458148710373252,CZ,18-24,411.0,511,1.0
458148710373252,CZ,45-54,3004.0,2970,6.0
458148710373252,CZ,65+,175.0,301,
458148710373252,CZ,55-64,794.0,1020,4.0
458148710373252,CZ,35-44,4975.0,4600,24.0
458148710373252,CZ,25-34,4016.0,2790,17.0
1530810711167897,CZ,45-54,2877.0,3280,6.0
1530810711167897,CZ,35-44,3703.0,4005,12.0
1530810711167897,CZ,65+,258.0,718,
1530810711167897,CZ,55-64,1289.0,2158,4.0
1530810711167897,CZ,18-24,159.0,350,3.0
1530810711167897,CZ,25-34,1912.0,1835,6.0
1205703007262095,CZ,18-24,75.0,498,
1205703007262095,CZ,25-34,1104.0,4461,15.0
1205703007262095,CZ,35-44,2027.0,5888,13.0
1205703007262095,CZ,45-54,797.0,2696,8.0
1205703007262095,CZ,55-64,245.0,1488,2.0
1205703007262095,CZ,65+,91.0,712,
1465906464063733,CZ,18-24,74.0,56,1.0
1465906464063733,CZ,35-44,1775.0,1472,1.0
1465906464063733,CZ,65+,122.0,295,
1465906464063733,CZ,55-64,615.0,822,3.0
1465906464063733,CZ,45-54,1567.0,1524,6.0
1465906464063733,CZ,25-34,997.0,497,2.0
433169242902127,CZ,65+,355.0,845,2.0
433169242902127,CZ,45-54,5530.0,7021,15.0
433169242902127,CZ,55-64,1922.0,2983,7.0
433169242902127,CZ,35-44,7058.0,7136,20.0
433169242902127,CZ,18-24,449.0,588,6.0
433169242902127,CZ,25-34,4657.0,3190,14.0
278447535205390,CZ,25-34,553.0,997,3.0
278447535205390,CZ,65+,231.0,984,1.0
278447535205390,CZ,55-64,827.0,2381,1.0
278447535205390,CZ,45-54,1361.0,3607,7.0
278447535205390,CZ,35-44,1048.0,3073,6.0
278447535205390,CZ,18-24,69.0,160,1.0
274370739052476,CZ,65+,373.0,1163,1.0
274370739052476,CZ,35-44,4246.0,5523,23.0
274370739052476,CZ,55-64,1758.0,3473,7.0
274370739052476,CZ,45-54,3846.0,6303,16.0
274370739052476,CZ,25-34,3531.0,3129,13.0
274370739052476,CZ,18-24,526.0,713,4.0
1098323108084284,CZ,55-64,367.0,959,1.0
1098323108084284,CZ,35-44,2648.0,6568,12.0
1098323108084284,CZ,65+,120.0,372,1.0
1098323108084284,CZ,45-54,1357.0,3306,10.0
1098323108084284,CZ,25-34,2233.0,3899,16.0
1098323108084284,CZ,18-24,312.0,723,3.0
914306460282867,CZ,18-24,83.0,164,1.0
914306460282867,CZ,45-54,1293.0,2806,8.0
914306460282867,CZ,65+,106.0,359,
914306460282867,CZ,55-64,425.0,1184,1.0
914306460282867,CZ,35-44,1660.0,3432,8.0
914306460282867,CZ,25-34,988.0,1557,6.0
762708425744440,CZ,18-24,363.0,257,1.0
762708425744440,CZ,35-44,4464.0,3962,7.0
762708425744440,CZ,65+,254.0,618,
762708425744440,CZ,55-64,1144.0,1972,1.0
762708425744440,CZ,45-54,3213.0,3890,5.0
762708425744440,CZ,25-34,3599.0,1826,9.0
