ad_id,platform_name
571896965547414,facebook
571896965547414,instagram
2372307699785054,facebook
2372307699785054,instagram
1645700829631103,facebook
1645700829631103,instagram
933063195388931,facebook
933063195388931,instagram
1117886149761019,facebook
1117886149761019,instagram
8502610509815543,facebook
8502610509815543,instagram
807583424623131,facebook
807583424623131,instagram
1078269420379586,facebook
1078269420379586,instagram
886744606173158,facebook
886744606173158,instagram
458148710373252,facebook
458148710373252,instagram
1530810711167897,facebook
1530810711167897,instagram
1205703007262095,facebook
1205703007262095,instagram
1465906464063733,facebook
1465906464063733,instagram
433169242902127,facebook
433169242902127,instagram
278447535205390,facebook
278447535205390,instagram
274370739052476,facebook
274370739052476,instagram
1098323108084284,facebook
1098323108084284,instagram
914306460282867,facebook
914306460282867,instagram
762708425744440,facebook
762708425744440,instagram
971254370797240,facebook
250990981010004,facebook
563715232386945,facebook
