ad_id,link_titles,link_captions
392247607072006,,
2037999629977741,,
516051841004135,,
8316444318468748,,
886688790015834,,
358917827315053,,
1642504746294615,,
1181114443174301,,
1070049234464411,,
514637784651259,,
554855320208420,Chceme dostupnou zdravotní péči pro všechny Středočechy.,
886504453342821,"Máme plán, jak vyřešit dopravu ve Středočeském kraji.",
1927912214394407,SPOLU jsme pro zodpovědný rozvoj Středočeského kraje.,
1539079610033426,,
495805443256864,,
1741817253311170,,
507819615283905,,
843388574528188,,
1463989460927489,,
3149498295190612,,
1041658997369088,,
1891605788001863,,
2314621662218483,,
879068974142060,,
1306356100747797,,
515479674675039,,
1697151371020419,,
1237845557566006,,
2019361908514993,,
1603660537174840,,
521024053905784,,
1215440596366466,,
1069076601344822,,
1252501316103746,,
2904099446419826,,
505507505511848,SPOLU jsme pro zodpovědný rozvoj Středočeského kraje.,
1289129695789665,Chceme dostupnou zdravotní péči pro všechny Středočechy.,
488965570568643,"Máme plán, jak vyřešit dopravu ve Středočeském kraji.",
1534858477236716,,
1301019571281717,,
1039766641190456,,
1247830213021909,,
1035207964711612,SPOLU zajistíme kulturní dědictví pro další generace.,
494441103452043,SPOLU zajistíme kulturní dědictví pro další generace.,
1812257212915378,"""Pomáhat se má, když člověk může."" To je motto naší kandidátky Kateřiny Daczicské",
877291694463533,"""Pomáhat se má, když člověk může."" To je motto naší kandidátky Kateřiny Daczicské",
1262565874907911,,
1165193234552949,,
436681919388044,,
1959449384552123,,
3342361702734507,,
875186067390312,,
2717643195109390,,
486544694196617,,
502085279230026,,
844490664472646,,
353472444400125,,
1512216969413816,,
531849022622867,,
1450132939030644,,
1194846054965983,,
1200534071171805,,
1030720118549097,,
3347727675534362,,
1622738388292722,,
436239955483766,,
1572100217061032,,
1170706880710849,,
527188399699242,,
903761781775213,,
2444347102623450,,
