ad_id,platform_name
392247607072006,facebook
2037999629977741,facebook
516051841004135,facebook
8316444318468748,facebook
886688790015834,facebook
358917827315053,facebook
1642504746294615,facebook
1181114443174301,facebook
1070049234464411,facebook
514637784651259,facebook
554855320208420,facebook
886504453342821,facebook
1927912214394407,facebook
1539079610033426,facebook
495805443256864,facebook
1741817253311170,facebook
507819615283905,facebook
843388574528188,facebook
1463989460927489,facebook
3149498295190612,facebook
1041658997369088,facebook
1891605788001863,facebook
2314621662218483,facebook
879068974142060,facebook
1306356100747797,facebook
515479674675039,facebook
1697151371020419,facebook
1237845557566006,facebook
2019361908514993,facebook
1603660537174840,facebook
521024053905784,facebook
1215440596366466,facebook
1069076601344822,facebook
1252501316103746,facebook
2904099446419826,facebook
505507505511848,facebook
1289129695789665,facebook
488965570568643,facebook
1534858477236716,facebook
1301019571281717,facebook
1039766641190456,facebook
1247830213021909,facebook
1035207964711612,facebook
494441103452043,facebook
1812257212915378,facebook
877291694463533,facebook
1262565874907911,facebook
1165193234552949,facebook
436681919388044,facebook
1959449384552123,facebook
3342361702734507,facebook
875186067390312,facebook
2717643195109390,facebook
486544694196617,facebook
502085279230026,facebook
844490664472646,facebook
353472444400125,facebook
1512216969413816,facebook
531849022622867,facebook
1450132939030644,facebook
1194846054965983,facebook
1200534071171805,facebook
1030720118549097,facebook
3347727675534362,facebook
1622738388292722,facebook
436239955483766,facebook
1572100217061032,facebook
1170706880710849,facebook
527188399699242,facebook
903761781775213,facebook
2444347102623450,facebook
